DateTime,AddedIPs,RemovedIPs
1604687685,0,2
1604690739,1,0
1604694890,0,1
1604697947,1,1
1604699252,0,1
1604702087,0,1
1604705145,0,1
1604706638,1,0
1604708469,2,0
1604709280,0,5
1604713846,2,1
1604716431,0,4
1604719538,1,5
1604720673,0,1
1604723427,0,1
1604726243,1,0
1604730886,1,2
1604738073,1,1
1604740393,1,0
1604744736,2,2
1604746233,2,1
1604748165,2,2
1604750649,0,1
1604753317,1,2
1604754639,2,1
1604756084,1,0
1604759676,1,0
1604761764,0,2
1604763281,1,2
1604766882,0,3
1604770475,1,1
1604776008,1,1
1604777135,2,0
1604778721,2,0
1604781273,1,1
1604784107,1,1
1604787919,0,1
1604789267,0,2
1604792082,2,0
1604794420,0,2
1604799287,3,1
1604802892,1,9
1604805328,2,2
1604806493,1,0
1604808273,1,1
1604810091,0,1
1604811357,3,0
1604817279,1,0
1604820877,1,1
1604825797,1,0
1604826812,1,0
1604828081,0,1
1604830716,1,0
1604831835,1,0
1604841534,3,0
1604842470,0,1
1604846071,3,2
1604848662,1,0
1604850617,0,7
1604853279,1,0
1604854546,1,0
1604856151,1,0
1604856877,1,0
1604858741,0,1
1604860457,0,1
1604863070,1,0
1604868041,0,1
1604869621,1,0
1604872240,5,0
1604878477,2,3
1604882078,14,0
1604885138,2,2
1604886637,0,1
1604888021,0,1
1604890135,1,1
1604891385,1,0
1604892891,1,0
1604900082,0,1
1604904643,2,0
1604907281,1,1
1604909919,0,1
1604910882,2,0
1604912915,0,1
1604914483,0,1
1604915719,0,1
1604917534,2,1
1604919042,0,1
1604920742,3,0
1604923428,0,1
1604925278,0,1
1604926428,1,0
1604927585,1,0
1604928883,1,1
1604930248,1,0
1604933759,1,0
1604937659,0,1
1604939672,0,1
1604942441,2,0
1604945884,1,0
1604946870,0,3
1604948371,3,2
1604949938,0,1
1604950478,0,1
1604954080,1,2
1604956402,1,0
1604960741,1,0
1604962009,0,1
1604964883,2,0
1604967875,1,4
1604968485,0,1
1604972085,3,1
1604975681,1,2
1604977976,2,0
1604980749,0,3
1604982880,1,0
1604990079,1,1
1604992006,0,1
1604993683,1,0
1604997290,1,0
1605000893,5,1
1605003944,2,0
1605005444,3,1
1605008078,2,0
1605009361,16,0
1605011038,0,2
1605014030,0,1
1605016563,2,0
1605018875,5,0
1605020325,3,0
1605022482,1,4
1605026084,1,2
1605028489,1,0
1605031552,1,0
1605032737,2,0
1605034244,0,1
1605036338,2,1
1605038639,3,1
1605039939,2,0
1605043543,2,5
1605046192,1,2
1605047681,0,1
1605048964,0,14
1605052414,7,0
1605053553,1,0
1605054876,1,0
1605056189,1,0
1605057937,1,0
1605062092,1,2
1605065140,0,1
1605066648,1,0
1605071457,1,0
1605074978,2,2
1605076410,1,0
1605079543,1,0
1605081046,2,0
1605082485,1,1
1605087306,0,2
1605089049,0,1
1605090895,1,1
1605095453,1,0
1605097108,1,0
1605101140,0,1
1605104262,1,1
1605107273,2,1
1605108887,0,1
1605110386,0,2
1605113726,1,0
1605116076,0,1
1605117280,1,0
1605118943,0,2
1605121337,1,0
1605122499,1,0
1605124239,2,2
1605125849,2,0
1605129225,2,0
1605130456,0,1
1605132621,3,0
1605134428,2,0
1605138647,5,1
1605140227,0,1
1605141276,3,2
1605144341,0,1
1605144896,1,0
1605148484,4,2
1605150283,4,0
1605152078,3,0
1605155674,3,1
1605156823,1,0
1605159274,1,0
1605161910,1,1
1605162890,0,1
1605166480,16,0
1605168881,0,1
1605170080,1,5
1605173694,0,2
1605175174,2,2
1605176743,1,0
1605177275,0,1
1605178627,0,1
1605180338,2,0
1605184488,1,0
1605188569,2,2
1605191696,0,1
1605193492,0,1
1605195275,1,17
1605196782,1,0
1605201939,0,1
1605206075,0,4
1605208508,1,1
1605209694,1,2
1605212138,0,1
1605215903,2,0
1605223118,0,6
1605226878,0,1
1605233757,1,0
1605237037,0,2
1605245690,0,1
1605248737,1,0
1605251922,0,2
1605254539,1,0
1605256477,1,0
1605260078,1,0
1605261882,1,0
1605266280,1,1
1605267295,1,0
1605269175,1,0
1605274478,0,1
1605276172,1,0
1605278066,1,0
1605281683,0,1
1605282891,1,0
1605284713,1,1
1605288880,0,1
1605297043,2,3
1605301856,1,1
1605305963,0,2
1605307839,2,1
1605308971,1,4
1605314084,1,0
1605316758,1,1
1605317675,0,1
1605319711,0,17
1605322040,0,26
1605324882,0,4
1605326387,1,2
1605331209,1,1
1605332098,0,1
1605337422,1,16
1605342878,1,1
1605345935,2,1
1605346484,0,1
1605349144,3,0
1605350098,0,2
1605351278,1,0
1605356736,1,0
1605357272,0,1
1605364479,1,0
1605366400,2,1
1605368082,0,4
1605375275,1,0
1605377870,2,0
1605379466,0,2
1605380941,0,1
1605385254,6,1
1605386081,0,1
1605391902,1,0
1605393283,1,0
1605395670,1,0
1605400486,1,0
1605404097,1,1
1605405975,1,0
1605407682,1,0
1605414889,1,0
1605417959,0,1
1605419447,1,0
1605420726,1,0
1605425670,0,1
1605428445,1,0
1605429273,1,1
1605432878,1,2
1605434043,3,0
1605435934,2,0
1605436482,0,1
1605438903,0,1
1605442923,1,0
1605447279,0,1
1605448570,2,0
1605450333,0,1
1605451845,1,0
1605454476,0,5
1605457536,1,0
1605461680,2,0
1605463361,0,2
1605464733,1,0
1605472478,0,1
1605476082,1,0
1605477212,1,0
1605478733,0,3
1605482568,1,0
1605483281,1,0
1605484441,1,0
1605485987,1,2
1605486874,1,0
1605495300,1,0
1605497943,0,2
1605500739,2,0
1605504465,2,1
1605505850,1,0
1605507520,1,1
1605511146,0,1
1605513043,2,0
1605515681,5,2
1605517828,1,0
1605519155,1,2
1605520258,1,0
1605521809,2,1
1605523061,1,0
1605526136,1,0
1605530092,0,1
1605531884,1,1
1605534469,0,1
1605535575,2,1
1605543405,1,0
1605546522,2,2
1605548063,0,1
1605552003,1,0
1605554510,0,1
1605556765,1,4
1605561835,0,2
1605565367,0,2
1605569683,0,1
1605574070,0,1
1605576166,0,1
1605578960,3,1
1605582716,1,1
1605590747,3,1
1605595843,1,0
1605597299,0,1
1605598615,0,1
1605600877,1,0
1605602691,0,1
1605603841,0,4
1605605679,0,1
1605608609,1,0
1605609952,1,0
1605611358,0,1
1605619552,1,1
1605623150,1,1
1605625541,0,1
1605627280,0,2
1605632876,0,2
1605634482,3,1
1605638077,2,0
1605639388,1,0
1605644742,1,0
1605646117,0,2
1605647886,1,1
1605649837,1,0
1605652486,1,1
1605655191,0,2
1605659675,2,1
1605661258,1,0
1605662693,1,0
1605666341,1,1
1605670492,2,2
1605674089,1,2
1605676063,0,1
1605677536,0,2
1605678646,1,0
1605681297,2,2
1605684891,0,1
1605686204,2,0
1605687954,0,1
1605690349,0,2
1605692085,1,2
1605693867,1,0
1605702340,0,1
1605704939,0,1
1605706481,4,1
1605708341,3,0
1605709541,1,0
1605711034,3,0
1605713690,8,6
1605716256,0,1
1605717285,0,1
1605720343,1,0
1605722061,1,0
1605723612,1,0
1605726454,0,1
1605731691,1,0
1605735285,1,0
1605738894,3,1
1605742956,1,0
1605744939,3,0
1605746076,1,0
1605748866,8,4
1605751193,3,0
1605753287,1,0
1605756119,1,1
1605760482,1,4
1605762491,2,0
1605767689,1,2
1605771298,1,1
1605774086,1,0
1605775822,3,0
1605778479,2,1
1605780284,4,0
1605782103,1,0
1605785144,3,0
1605786381,2,0
1605789288,1,1
1605790950,1,0
1605792877,2,2
1605797455,1,0
1605800085,0,1
1605803697,1,2
1605805498,0,1
1605807277,2,2
1605809081,0,1
1605810885,2,0
1605812027,1,0
1605818067,1,1
1605821123,3,1
1605821687,0,1
1605827257,1,0
1605828889,0,2
1605830358,1,1
1605831585,1,0
1605836093,1,1
1605837978,1,0
1605840649,0,1
1605843272,0,2
1605846879,1,0
1605852539,0,2
1605857685,4,1
1605859842,1,0
1605861287,1,1
1605863553,1,0
1605867217,1,0
1605871543,1,0
1605875685,0,1
1605877970,1,5
1605879282,1,2
1605881627,0,6
1605882870,0,5
1605886492,0,1
1605890079,1,0
1605892025,0,2
1605893680,0,1
1605897275,1,0
1605898584,2,0
1605900876,0,1
1605903490,1,0
1605904474,1,0
1605908074,0,1
1605909591,0,2
1605914740,0,3
1605916242,0,1
1605918017,0,5
1605919740,0,4
1605920878,7,2
1605922485,0,1
