DateTime,AddedIPs,RemovedIPs
1605166444,161,178
1605168828,81,89
1605170046,61,74
1605173105,150,65
1605173644,17,85
1605175127,90,76
1605176705,66,7
1605177244,26,86
1605178594,45,23
1605180304,80,61
1605181621,184,85
1605184446,236,134
1605186903,124,85
1605188539,58,64
1605190822,120,93
1605191645,34,83
1605193448,51,83
1605195245,76,110
1605196735,49,83
1605197878,37,8
1605198845,33,115
1605201905,139,83
1605203168,72,80
1605206044,396,141
1605207214,380,0
1605208468,373,78
1605209655,318,66
1605212102,708,76
1605214040,531,73
1605215862,495,59
1605216847,189,56
1605218781,520,75
1605219907,363,1
1605221405,371,69
1605223035,388,97
1605224046,194,68
1605226846,764,81
1605227646,231,65
1605230072,674,67
1605231245,303,98
1605233459,605,74
1605235805,228,58
1605236984,39,54
1605239406,79,54
1605241505,68,57
1605242991,0,27453
1605245648,27346,0
1605247067,57,28
1605248706,77,70
1605249246,18,91
1605251874,116,82
1605252853,39,66
1605254497,67,85
1605256443,65,64
1605260045,136,213
1605261828,64,99
1605263105,36,0
1605264201,39,93
1605266215,97,71
1605267252,36,113
1605269108,58,97
1605270845,42,95
1605272624,53,85
1605274446,58,101
1605276128,51,95
1605278047,0,26907
1605279541,26853,0
1605280673,40,5
1605281646,41,77
1605283256,58,98
1605284678,63,1
1605285246,20,69
1605286377,35,0
1605288844,91,155
1605291099,56,81
1605294619,132,140
1605297004,58,92
1605298461,46,69
1605299645,54,69
1605301501,73,121
1605303245,50,71
1605304424,34,1
1605305933,50,73
1605307805,75,80
1605308933,64,66
1605311856,129,91
1605313243,48,77
1605314045,25,63
1605316719,77,75
1605317646,30,80
1605319677,66,119
1605321979,60,184
1605324845,80,129
1605326336,40,73
1605327574,41,8
1605328447,25,73
1605331174,67,79
1605332046,34,73
1605337353,118,250
1605339245,62,65
1605342844,112,165
1605345904,107,109
1605346445,17,69
1605349092,77,88
1605350053,74,90
1605351251,65,1
1605353105,85,82
1605354605,71,77
1605356705,87,85
1605357245,21,90
1605358728,54,64
1605360304,58,6
1605360844,20,91
1605362448,62,75
1605363906,34,0
1605364451,8,74
1605366354,72,72
1605368052,47,56
1605371645,100,154
1605372861,48,0
1605375244,62,399
1605377839,81,516
1605379430,66,564
1605380916,42,741
1605382451,54,576
1605385226,120,521
1605386046,41,439
1605387484,40,127
1605389106,61,360
1605389644,21,507
1605391871,88,502
1605393250,56,384
1605395619,106,492
1605397806,103,485
1605400445,87,1016
1605401623,53,0
1605402909,63,482
1605404046,50,381
1605405947,59,92
1605407644,67,68
1605409490,41,64
1605410705,40,0
1605412205,43,61
1605414844,98,114
1605417904,86,86
1605419404,50,87
1605420683,55,71
1605422044,45,89
1605425644,133,145
1605428417,111,105
1605429244,26,64
1605432304,111,65
1605432844,20,57
1605434002,47,0
1605435905,97,68
1605436444,10,80
1605438878,61,67
1605440045,50,53
1605441346,58,26
1605442899,52,32
1605444605,67,58
1605447246,80,118
1605448545,44,22
1605450305,60,42
1605451806,52,74
1605453459,36,63
1605454445,32,79
1605455579,35,0
1605457505,115,66
1605458052,57,54
1605459365,249,30
1605460600,189,30
1605461645,139,48
1605463321,170,81
1605464704,152,0
1605466022,109,42
1605467613,138,59
1605468852,116,56
1605470698,242,60
1605472445,235,57
1605474434,176,49
1605476053,119,54
1605477180,82,0
1605478708,162,69
1605479884,116,94
1605482537,196,90
1605483250,39,62
1605484409,63,0
1605485954,108,58
1605486846,72,59
1605488146,63,0
1605491555,149,137
1605493490,85,52
1605495163,57,56
1605497911,106,94
1605500705,115,57
1605501245,22,93
1605504377,0,20411
1605505804,20429,0
1605507471,55,50
1605508444,42,64
1605511117,88,67
1605513005,77,56
1605515645,141,148
1605516833,42,0
1605519023,95,160
1605520214,40,3
1605521575,79,131
1605522731,138,74
1605524919,89,115
1605527380,103,85
1605529242,65,101
1605530057,35,82
1605531824,71,91
1605534424,134,53
1605535546,88,83
1605537250,89,58
1605540852,125,100
1605542676,85,88
1605544446,93,61
1605546494,96,78
1605548045,0,20551
1605549711,20594,0
1605551956,121,63
1605554471,154,66
1605556656,0,20740
1605558905,20764,0
1605561784,248,91
1605562445,39,76
1605565288,147,98
1605566396,51,112
1605568956,0,20872
1605569646,20924,0
1605572620,128,76
1605574011,100,81
1605576131,128,66
1605578921,132,140
1605580907,79,57
1605582685,100,68
1605584045,81,66
1605587105,189,72
1605588325,59,60
1605590705,140,77
1605592204,68,76
1605594305,81,61
1605595805,64,98
1605597271,90,72
1605598587,66,78
1605600821,254,85
1605602657,71,74
1605603781,62,86
1605605646,60,79
1605608571,91,55
1605609915,53,69
1605611066,48,93
1605612845,61,79
1605614244,29,28
1605615461,58,66
1605616445,54,76
1605617635,76,0
1605619506,113,80
1605620047,37,104
1605621377,91,29
1605623105,124,33
1605623648,42,51
1605625523,117,60
1605627246,112,44
1605628574,76,34
1605630290,115,57
1605630846,19,80
1605632851,111,89
1605634445,99,110
1605636388,101,102
1605638045,95,88
1605639297,87,0
1605641072,92,92
1605641645,25,144
1605642884,60,0
1605644706,72,93
1605646083,73,85
1605647822,95,96
1605649804,94,128
1605652450,127,192
1605653790,75,45
1605655162,64,99
1605659646,192,309
1605661183,49,104
1605662663,77,6
1605663245,38,96
1605666304,144,75
1605667780,74,81
1605670446,178,178
1605673374,178,83
1605674046,78,84
1605676010,255,67
1605677105,112,0
1605678249,246,68
1605679708,195,108
1605681270,256,71
1605683032,227,108
1605684847,243,112
1605686167,130,42
1605687906,146,49
1605688446,59,76
1605690318,304,109
1605692047,222,157
1605693832,220,112
1605695648,145,67
1605697171,98,78
1605698707,89,9
1605699255,35,67
1605702305,156,68
1605703725,82,91
1605704908,57,126
1605706446,87,92
1605708312,87,69
1605709505,66,0
1605710598,58,75
1605712037,174,111
1605713648,249,105
1605715002,128,27
1605716229,66,56
1605717247,77,110
1605718623,69,29
1605720305,68,60
1605720845,16,94
1605722023,38,1
1605723572,45,100
1605724446,39,105
1605726422,92,109
1605729008,126,126
1605731645,109,274
1605734304,138,85
1605735246,32,91
1605738844,187,212
1605740191,46,29
1605741572,113,49
1605742921,134,92
1605744884,207,136
1605746045,122,129
1605748829,231,92
1605751151,88,176
1605752704,67,6
1605753244,25,116
1605756091,126,111
1605756844,83,107
1605760445,229,217
1605762454,146,77
1605764044,126,71
1605767652,280,205
1605770564,248,168
1605771246,65,107
1605774027,219,91
1605775777,230,50
1605778446,249,120
1605780228,145,82
1605782047,145,75
1605785105,241,54
1605786326,94,74
1605787542,96,102
1605789246,116,101
1605790902,71,134
1605792847,78,119
1605795904,131,116
1605797412,58,108
1605800045,135,183
1605801189,53,0
1605802794,57,92
1605803656,38,110
1605805447,75,98
1605807244,72,83
1605809054,78,121
1605810845,78,82
1605811999,52,0
1605813905,93,90
1605814445,26,68
1605816744,95,101
1605818042,0,24212
1605819852,24188,0
1605821648,62,79
1605822913,43,1
1605824618,66,92
1605825852,36,79
1605827222,42,71
1605828847,62,75
1605830336,49,63
1605831573,0,24088
1605832445,24104,0
1605836055,146,169
1605837941,88,107
1605839105,63,0
1605840605,67,94
1605843247,143,204
1605844353,62,0
1605846224,72,289
1605846845,23,180
1605850451,183,580
1605852513,98,263
1605854046,64,238
1605855141,51,0
1605857104,92,180
1605857646,20,146
1605859799,149,307
1605861245,64,207
1605862366,62,1
1605863516,66,257
1605864849,69,150
1605866700,72,123
1605867905,55,0
1605869410,75,110
1605872044,114,175
1605873369,61,46
1605875104,133,67
1605875646,70,131
1605877941,133,87
1605879245,82,91
1605880396,60,0
1605881601,66,82
1605882844,45,87
1605884802,111,157
1605886446,77,86
1605888869,109,74
1605890044,44,60
1605891998,67,58
1605893644,45,53
1605895355,36,73
1605897245,70,79
1605898510,66,0
1605900304,70,68
1605900844,19,71
1605903419,107,63
1605904445,44,99
1605906254,67,94
1605908046,91,92
1605909548,60,67
1605910730,44,6
1605911645,35,187
1605914704,122,191
1605916205,83,197
1605917983,85,223
1605919712,89,135
1605920853,45,75
1605922447,63,80
1605925255,110,90
1605927005,50,124
1605929648,94,316
1605931481,62,136
1605933246,35,122
1605936844,131,299
1605938648,93,166
1605940443,67,192
1605943504,168,168
1605944046,23,153
1605946936,102,264
1605947645,20,193
1605949152,66,169
1605950705,68,10
1605951244,14,165
1605953751,87,192
1605955805,94,154
1605957132,44,178
1605958247,40,139
1605961401,87,258
1605963005,42,212
1605965644,80,176
1605968672,115,98
1605970566,68,134
1605972305,60,66
1605972844,14,84
1605974355,61,70
1605975517,49,3
1605976452,28,76
1605979505,123,64
1605980045,24,72
1605982553,80,83
1605983645,36,76
1605985259,61,97
1605986704,67,0
1605987245,25,74
1605988623,64,28
1605990083,195,53
1605990846,141,77
1605993906,307,85
1605995405,382,55
1605998051,785,125
1605999751,686,64
1606001646,515,86
1606002816,338,0
1606003946,335,68
1606005244,353,78
1606006612,360,25
1606007782,414,50
1606008846,321,86
1606011905,858,65
1606013405,247,74
1606015505,66,71
1606016980,61,57
1606019646,87,130
1606022705,109,61
1606023895,42,65
