DateTime,AddedIPs,RemovedIPs
1604977975,4,1
1604979287,2,2
1604980734,1,0
1604982339,2,0
1604982879,1,0
1604986490,3,2
1604988015,1,3
1604989539,2,0
1604990077,0,2
1604991966,1,0
1604993682,1,1
1604997289,0,1
1604999490,3,2
1605000892,1,1
1605003943,2,1
1605005443,0,1
1605007087,2,3
1605008077,0,3
1605011686,0,3
1605014029,3,0
1605015209,0,1
1605016562,3,0
1605018874,2,0
1605022481,1,0
1605026083,0,5
1605028488,3,0
1605031552,1,1
1605032736,1,0
1605034243,0,1
1605038638,0,2
1605043542,3,0
1605047680,0,1
1605051276,3,2
1605052413,1,0
1605053552,1,5
1605054875,2,0
1605057935,3,2
1605059319,2,5
1605062091,5,8
1605065139,3,3
1605066647,3,2
1605069324,1,2
1605071456,2,2
1605072890,0,3
1605074977,2,8
1605076404,2,2
1605079542,8,1
1605081045,2,0
1605082484,1,2
1605083690,0,3
1605086452,3,2
1605087305,1,0
1605089042,1,1
1605090894,2,0
1605092000,1,0
1605093276,4,2
1605095453,2,1
1605098266,1,1
1605101139,2,1
1605102698,0,4
1605104256,1,1
1605107271,0,1
1605108886,0,1
1605112477,1,1
1605113679,2,0
1605116075,0,1
1605118932,2,4
1605120174,1,2
1605126878,0,1
1605130455,1,0
1605132620,1,0
1605136066,1,2
1605138645,0,3
1605140225,2,0
1605141275,1,3
1605142402,1,0
1605144340,4,3
1605144894,0,2
1605147792,2,4
1605148483,1,1
1605150281,3,2
1605152077,1,1
1605155673,4,2
1605159273,3,1
1605160480,3,0
1605162889,1,2
1605166479,5,2
1605168880,4,3
1605170078,1,1
1605173137,2,1
1605173693,0,2
1605175160,1,2
1605176741,1,0
1605177273,0,1
1605180338,1,0
1605181673,5,0
1605184482,5,1
1605187002,3,2
1605190869,0,3
1605191695,0,2
1605193490,1,0
1605196780,2,1
1605197927,1,0
1605201939,2,3
1605206074,1,1
1605212137,1,0
1605214070,0,2
1605218811,1,1
1605221431,0,2
1605223117,0,2
1605224086,1,2
1605226873,3,2
1605227680,0,3
1605230096,4,2
1605231274,1,3
1605233756,2,1
1605235845,0,1
1605237028,2,4
1605239440,1,1
1605241534,3,2
1605243010,1,0
1605245689,1,1
1605247146,1,6
1605248736,2,0
1605249283,1,4
1605251915,5,3
1605252888,1,2
1605254530,3,2
1605256476,2,1
1605260077,2,5
1605261881,1,1
1605263138,1,0
