DateTime,AddedIPs,RemovedIPs
1604611183,0,1
1604615670,0,3
1604620247,3,0
1604621397,0,1
1604622881,0,4
1604625755,0,1
1604626483,2,3
1604629473,1,1
1604632071,1,1
1604637291,0,3
1604643944,0,2
1604646248,1,0
1604648085,1,0
1604650836,0,1
1604654746,0,1
1604656164,2,2
1604658168,2,1
1604662480,1,0
1604665372,0,2
1604668699,1,0
1604674244,0,1
1604676343,0,2
1604677848,0,3
1604680477,1,0
1604681762,1,0
1604683547,0,1
1604685045,1,0
1604687687,1,0
1604691279,0,1
1604694892,1,1
1604699255,0,1
1604705148,4,0
1604706642,1,0
1604708475,1,0
1604709282,0,1
1604712343,1,0
1604713848,0,1
1604719541,1,1
1604720676,0,1
1604722134,0,1
1604724649,2,0
1604726246,0,2
1604730888,1,1
1604732263,1,0
1604734488,0,1
1604737139,2,1
1604738076,0,2
1604740397,0,1
1604744739,3,0
1604748167,1,2
1604750652,0,1
1604751942,1,0
1604754644,1,0
1604756086,1,1
1604757830,0,1
1604759679,0,1
1604761769,0,2
1604763284,1,3
1604766885,1,2
1604770477,1,0
1604774078,0,1
1604776010,3,0
1604777138,1,0
1604778724,1,2
1604781276,3,0
1604784110,0,2
1604785839,1,0
1604787921,0,1
1604789270,0,1
1604792085,1,1
1604794425,2,0
1604799290,0,2
1604805335,1,0
1604806496,0,1
1604808280,0,1
1604812665,0,1
1604824489,1,1
1604826815,0,2
1604830728,0,1
1604831839,0,1
1604835281,0,5
1604838876,0,1
1604840150,9,0
1604842473,2,1
1604848665,1,1
1604850619,0,2
1604853282,1,1
1604854549,1,0
1604856153,7,0
1604856880,3,0
1604858744,2,0
1604860459,4,0
1604861796,2,0
1604863075,2,1
1604866061,4,1
1604868043,12,0
1604869624,2,1
1604870747,1,0
1604872243,4,0
1604874881,2,2
1604878481,5,2
1604882081,3,0
1604885141,2,0
1604886642,1,0
1604890138,6,0
1604891388,1,2
1604894384,2,0
1604898591,1,0
1604900085,1,0
1604903147,2,1
1604904646,0,1
1604907284,2,2
1604909921,2,0
1604912918,1,1
1604914486,1,0
1604917538,2,1
1604920747,1,1
1604923432,1,1
1604925281,0,1
1604928886,0,1
1604933761,0,1
1604935539,0,2
1604936082,0,2
