DateTime,AddedIPs,RemovedIPs
1604933317,18,11
1604935245,18,6
1604938144,13,10
1604940060,20,9
1604941942,8,0
1604943899,13,8
1604945792,8,6
1604947946,11,17
1604949877,18,0
1604951816,12,27
1604953735,20,15
1604955640,12,0
1604959476,12,18
1604961397,8,16
1604963336,15,11
1604965210,13,0
1604968107,16,13
1604970050,15,25
1604971967,7,0
1604974837,12,27
1604976754,14,13
1604978692,15,14
1604980584,12,17
1604982509,9,20
1604985382,20,13
1604987326,12,22
1604990199,10,22
1604992117,7,14
1604994020,15,19
1604995964,7,18
1604997855,19,14
1604999781,21,21
1605001722,25,9
1605003639,11,13
1605005535,6,9
1605007491,17,11
1605010349,13,0
1605012282,17,28
1605014205,14,0
1605016105,15,21
1605019003,14,11
1605020918,12,10
1605022813,12,0
1605024774,12,22
1605027630,15,7
1605029553,6,0
1605031510,13,26
1605033383,6,0
1605035570,17,9
1605038419,16,0
1605040366,11,7
1605042264,15,10
1605044212,11,10
1605046109,21,7
1605048045,15,0
1605049989,15,16
1605051864,11,21
1605053781,17,16
1605055738,13,14
1605057616,9,10
1605059561,3,11
1605061495,21,20
1605063385,19,9
1605067253,27,25
1605069150,14,17
1605071084,20,0
1605076846,8,35
1605078760,15,15
1605080688,13,9
1605082606,24,0
1605084542,26,12
1605087422,14,16
1605089303,23,10
1605091259,10,9
1605093168,26,6
1605095091,10,8
1605099919,12,13
1605101798,15,8
1605103725,8,6
1605105665,8,15
1605107542,21,14
1605109469,24,12
1605111407,13,0
1605113298,9,13
1605115247,16,12
1605117178,19,9
1605119086,17,10
1605121018,18,14
1605122941,17,10
1605124830,11,0
1605126765,8,18
1605130599,6,37
1605132503,8,0
1605134441,11,9
1605136334,11,13
1605138259,13,14
1605140212,20,10
1605142101,23,7
1605144046,13,17
1605145970,13,0
1605148878,14,13
1605150736,16,17
1605152677,19,12
1605154623,18,9
1605156506,14,0
1605159391,19,36
1605161326,19,8
1605163251,23,17
1605165141,8,16
1605167059,13,0
1605170901,18,33
1605172833,8,10
1605175718,9,24
1605177665,8,16
1605179571,19,18
1605181476,23,11
1605183413,16,9
1605187252,14,37
1605189187,18,10
1605191079,11,12
1605193019,23,15
1605194938,18,9
1605196851,13,0
1605198756,10,13
1605201624,12,13
1605203586,18,15
1605205486,12,12
1605207449,15,15
1605209320,20,12
1605211230,15,15
1605213172,12,0
1605215084,20,11
1605216986,13,20
1605219873,6,24
1605221817,16,21
1605223708,10,20
1605225643,16,23
1605227585,13,0
1605229464,11,9
1605231383,14,15
1605233349,14,11
1605235237,9,24
1605237143,11,15
1605239112,10,8
1605240992,16,23
1605242929,13,18
1605245812,10,23
1605247756,13,20
1605249622,12,9
1605251532,18,7
1605253509,18,0
1605255402,18,0
1605257297,27,16
1605261134,17,33
1605265027,15,30
1605266932,14,0
1605268818,5,11
1605270783,9,20
1605273639,14,9
1605275567,12,22
1605277504,16,0
1605279392,10,7
1605281307,12,16
1605283266,16,8
1605286130,10,26
1605289011,12,20
1605290918,15,20
1605292885,15,13
1605295728,12,19
1605297670,14,14
1605299545,18,20
1605301469,16,10
1605303406,8,18
1605305304,13,16
1605307238,9,15
1605309170,13,11
1605311079,13,15
1605313030,10,14
1605314932,15,16
1605317772,9,12
1605319975,16,15
1605322856,11,23
1605324743,10,14
1605326691,11,14
1605328580,13,11
1605330510,21,10
1605332466,8,12
1605334337,16,16
1605337253,9,15
1605340102,16,24
1605343982,12,16
1605345856,9,22
1605347782,9,18
1605349739,12,18
1605351676,9,0
