DateTime,AddedIPs,RemovedIPs
1604933317,54,55
1604935245,47,59
1604938144,40,48
1604940060,49,41
1604941942,39,48
1604943899,32,36
1604945792,43,33
1604947946,49,42
1604949877,52,48
1604951816,45,52
1604953735,50,43
1604955640,49,51
1604959476,36,49
1604961397,59,38
1604963336,45,60
1604965210,42,42
1604968107,47,43
1604970050,42,47
1604971967,43,42
1604974837,46,43
1604976754,44,43
1604978692,45,41
1604980584,48,47
1604982509,50,44
1604985382,61,58
1604987326,52,59
1604990199,41,51
1604992117,37,41
1604994020,51,38
1604995964,42,54
1604997855,52,40
1604999781,42,52
1605001722,52,43
1605003639,41,54
1605005535,37,38
1605007491,45,37
1605010349,37,47
1605012282,58,36
1605014205,56,57
1605016105,49,55
1605019003,47,52
1605020918,48,45
1605022813,46,50
1605024774,42,47
1605027630,46,42
1605029553,54,45
1605031510,46,53
1605033383,45,46
1605035570,54,45
1605038419,47,55
1605040366,46,44
1605042264,41,48
1605044212,51,40
1605046109,49,51
1605048045,59,50
1605049989,53,59
1605051864,41,51
1605053781,36,41
1605055738,46,37
1605057616,49,47
1605059561,39,48
1605061495,54,41
1605063385,47,56
1605067253,55,43
1605069150,58,59
1605071084,60,53
1605076846,50,64
1605078760,47,48
1605080688,38,39
1605082606,53,49
1605084542,57,53
1605087422,55,58
1605089303,52,54
1605091259,58,52
1605093168,59,58
1605095091,42,58
1605099919,49,44
1605101798,54,49
1605103725,40,53
1605105665,54,40
1605107542,50,51
1605109469,46,50
1605111407,46,47
1605113298,30,48
1605115247,49,31
1605117178,43,49
1605119086,69,42
1605121018,52,65
1605122941,49,52
1605124830,43,50
1605126765,37,43
1605130599,42,36
1605132503,46,47
1605134441,49,44
1605136334,45,50
1605138259,49,44
1605140212,51,46
1605142101,50,54
1605144046,49,51
1605145970,53,49
1605148878,44,49
1605150736,55,44
1605152677,50,57
1605154623,51,48
1605156506,53,53
1605159391,60,52
1605161326,64,65
1605163251,60,60
1605165141,58,64
1605167059,40,45
1605170901,51,42
