DateTime,AddedIPs,RemovedIPs
1603774821,0,1
1603778421,0,1
1603782021,3,0
1603785620,1,0
1603789222,0,2
1603792822,4,2
1603796421,3,0
1603800022,0,3
1603803620,4,24
1603807221,1,0
1603810821,0,1
1603814420,2,0
1603818021,0,2
1603825221,1,0
1603828821,1,0
1603832420,0,1
1603836021,4,0
1603839621,4,0
1603843220,2,1
1603846820,2,1
1603850421,4,21
1603854020,4,0
1603857621,11,2
1603861221,7,0
1603864821,11,1
1603868420,2,0
1603872022,1,0
1603875622,13,0
1603879222,12,1
1603882823,2,0
1603886422,0,1
1603890024,0,1
1603893623,1,0
1603908863,2,2
1603915255,1,1
1603936856,3,1
1603944055,1,2
1603947654,2,0
1603951255,1,0
1603954855,3,0
1603958455,5,0
1603962056,3,0
1603965656,21,22
1603969256,1,0
1603983655,3,3
1603987223,3,1
1603990823,1,1
1603994424,1,0
1604008825,2,1
1604016026,2,2
1604019625,1,1
1604023225,2,1
1604026824,0,1
1604030424,1,0
1604034025,3,1
1604037626,2,1
1604041224,1,2
1604044825,2,3
1604052025,4,3
1604055625,2,0
1604059225,0,1
1604062826,1,1
1604066424,1,0
1604070026,2,1
1604073627,2,0
1604080825,0,2
1604084425,1,2
1604091627,2,3
1604095227,12,0
1604098826,8,1
1604102427,1,3
1604106026,1,0
1604109625,2,1
1604113224,1,1
1604116826,1,0
1604124024,0,2
1604127624,2,0
1604131224,0,7
1604134824,2,3
1604138424,1,4
1604142025,0,3
1604145623,3,5
1604149223,1,7
1604152825,1,2
1604156426,0,2
1604160023,1,1
1604163625,0,4
1604167222,1,5
1604170822,1,1
1604178023,2,1
1604185225,20,0
1604188825,1,0
1604192426,3,3
1604199626,3,1
1604203224,1,0
1604210423,0,2
1604214023,2,21
1604217623,0,2
1604224825,2,0
1604228425,0,1
1604235623,1,3
1604239224,0,1
1604242823,0,2
1604250022,1,0
1604253623,0,2
1604257224,1,1
1604260824,1,0
1604264423,3,1
1604268025,1,0
1604271624,0,2
1604278823,1,2
1604282424,1,0
1604289626,25,0
1604296824,2,1
1604300426,1,0
1604307625,1,3
1604311225,2,0
1604322027,1,1
1604325625,0,1
1604332825,2,0
1604340027,1,0
1604343626,0,4
1604347223,0,2
1604350827,0,2
1604361626,1,2
1604365223,4,24
1604368825,1,0
1604372423,0,1
1604376025,4,2
1604379625,22,0
1604383227,2,0
1604386825,1,2
1604390427,4,0
1604397624,1,1
1604401227,0,1
1604404824,2,0
1604408425,3,2
1604412026,0,1
1604415626,32,4
1604419225,0,3
1604426427,2,1
1604430028,2,0
1604433625,1,1
1604437226,1,0
1604444426,0,2
1604448025,0,2
1604451627,1,1
1604455226,1,3
1604458827,0,3
1604462427,0,8
1604466026,19,8
1604469627,0,12
1604473224,0,3
1604476827,9,3
1604480426,1,13
1604484025,0,11
1604487624,2,5
1604491225,1,0
1604494824,2,1
1604502024,0,1
1604509225,1,1
1604512824,1,1
1604520025,1,2
1604523625,0,1
1604527224,0,2
1604534426,1,0
1604538026,2,1
1604541626,5,0
1604545225,0,1
1604548826,1,0
1604552424,2,0
1604556027,19,1
1604559627,3,1
1604563227,2,3
1604566826,0,1
1604570427,0,14
1604574026,0,1
1604577627,2,0
1604581224,1,2
1604584825,1,3
1604588425,2,0
1604592025,0,2
1604595626,0,2
1604599226,0,1
1604606423,3,1
1604610025,0,2
1604613624,1,0
1604620827,1,2
1604628027,1,1
1604631626,0,2
1604635224,0,1
1604638825,1,0
1604642426,0,1
1604646025,0,1
1604649624,4,2
1604653225,2,1
1604656826,2,2
1604660426,1,2
1604664025,1,0
1604667626,18,1
1604671226,1,2
1604674824,1,1
1604685626,0,1
1604700025,1,11
1604703625,0,9
1604710826,2,0
1604714426,0,1
1604718025,1,1
1604721625,1,0
1604725225,1,0
1604728824,0,1
1604732423,2,1
1604736025,0,2
1604739624,1,2
1604743225,2,3
1604746822,0,1
1604750423,0,2
1604754024,0,1
1604757623,2,0
1604761224,0,1
1604764822,0,3
1604768426,18,0
1604772025,0,1
1604775624,1,2
1604782825,7,2
1604786426,8,0
1604790025,1,21
1604793625,8,0
1604797223,2,3
1604800823,3,0
1604804423,5,0
1604808025,0,1
1604811625,2,0
1604818825,0,1
1604822424,1,0
1604826024,1,0
1604829624,1,0
1604840425,1,1
1604854825,2,1
1604858425,2,0
1604862024,3,1
1604865624,3,0
1604869225,2,3
1604872825,19,1
1604876424,1,1
1604880028,5,1
1604883628,0,2
1604887225,2,0
1604890827,0,2
1604894426,0,20
1604898028,0,1
1604901626,0,1
1604905224,1,3
1604912424,0,1
1604916024,0,2
1604919625,1,0
1604926826,0,3
1604930425,1,2
1604937625,0,3
1604944826,2,1
1604948424,2,1
1604952026,1,0
1604955625,0,3
1604959226,16,0
1604962825,0,1
1604966427,0,1
1604970024,1,2
1604973626,0,2
1604980826,2,2
1604984423,2,21
1604988025,2,1
1604991625,0,3
1604995223,0,2
1604998824,0,1
1605002424,1,2
1605006026,1,1
1605009623,1,2
1605013223,0,3
1605016825,1,1
1605020422,0,31
1605024022,1,0
1605031224,2,2
1605034822,4,0
1605038424,2,2
1605042023,2,0
1605045623,17,0
1605052825,2,0
1605056423,1,3
1605060022,2,0
1605067222,0,3
1605070824,1,21
1605074423,1,0
1605078023,0,2
1605081622,2,9
1605085221,3,0
1605088823,4,0
1605092423,0,1
1605096023,1,1
1605099621,0,4
1605103224,1,0
1605106822,0,1
1605110423,1,0
1605114023,1,1
1605117624,1,1
1605121222,0,2
1605124823,1,2
1605128421,1,0
1605135622,0,1
1605139224,16,0
1605142824,2,0
1605146424,0,6
1605157222,1,0
1605160821,1,19
1605164422,2,1
1605168021,1,1
1605171623,1,0
1605175220,1,0
1605182421,2,2
1605186022,1,3
1605189623,0,1
1605193220,0,2
1605204023,1,1
1605207621,1,0
1605214823,0,1
1605225622,22,0
1605229222,0,1
1605232824,1,0
1605236421,1,0
