DateTime,AddedIPs,RemovedIPs
1604229912,49,118
1604233484,98,58
1604237120,108,75
1604240690,88,72
1604244318,88,74
1604247902,206,63
1604251501,145,92
1604255103,96,68
1604258708,197,90
1604262341,124,75
1604265919,97,60
1604269519,184,102
1604273113,107,70
1604276749,97,83
1604280324,141,74
1604283921,106,87
1604287556,128,75
1604291155,112,82
1604294752,130,162
1604298356,130,70
1604301923,159,88
1604305538,171,47
1604309143,131,65
1604312739,127,69
1604316380,100,61
1604319950,126,56
1604323554,106,50
1604327194,86,36
1604330770,99,49
1604334409,78,50
1604337974,102,57
1604341572,112,96
1604345183,81,71
1604348774,77,65
1604352376,92,73
1604356004,82,57
1604359604,92,65
1604363182,103,59
1604366781,72,68
1604370414,95,64
1604373982,92,71
1604377606,91,65
1604381175,107,60
1604384775,87,79
1604388405,84,70
1604392005,111,66
1604395573,85,95
1604399209,111,54
1604402784,88,59
1604406395,102,65
1604409987,115,147
1604413625,99,50
1604417194,115,78
1604420794,108,73
1604424437,101,64
1604428034,78,76
1604431609,86,74
1604435229,105,50
1604438831,75,53
1604442405,93,60
1604446003,91,56
1604449638,73,42
1604453238,85,43
1604456835,91,62
1604460446,98,73
1604464006,76,72
1604467635,75,71
1604471239,102,91
1604474805,90,74
1604478404,129,66
1604482040,96,78
1604485606,97,68
1604489209,74,135
1604492797,93,236
1604496396,86,245
1604499999,102,149
1604503600,100,121
1604507202,132,89
1604510840,58,72
1604514439,88,83
1604518040,94,94
1604521607,78,91
1604525210,86,60
1604528813,123,92
1604532447,84,72
1604536049,74,73
1604539647,110,103
1604543210,96,103
1604546847,97,71
1604550407,88,96
1604554011,83,73
1604557644,89,95
1604561208,105,91
1604564806,78,81
1604568410,94,86
1604572040,127,106
1604575642,83,76
1604579209,103,152
1604582811,98,118
1604586441,95,110
1604590039,81,101
1604593610,69,118
1604597216,78,87
1604600837,70,110
1604604403,66,109
1604608032,87,88
1604611629,76,86
1604615198,53,98
1604618831,82,52
1604622435,75,85
1604626031,62,99
1604629594,62,86
1604633234,91,73
1604636790,87,90
1604640397,102,80
1604643996,255,100
1604647639,353,116
1604651215,198,91
1604654816,156,88
1604658453,228,104
1604662057,178,78
1604665663,179,87
1604669239,189,89
1604672846,198,77
1604676486,232,95
1604680056,205,132
1604683698,177,87
1604687304,221,82
1604690911,195,87
1604694482,181,64
1604698116,147,152
1604701729,133,115
1604705322,133,63
1604708904,158,67
1604712538,137,92
1604716098,123,71
1604719746,113,94
1604723310,131,66
1604726946,118,68
1604730507,94,70
1604734106,112,83
1604737702,102,103
1604741334,108,84
1604744941,162,76
1604748513,122,68
1604752113,121,81
1604755709,107,91
1604759347,139,82
1604762913,143,74
1604766549,127,101
1604770126,137,102
1604773759,132,98
1604777353,105,129
1604780955,105,95
1604784528,130,77
1604788155,117,143
1604791722,119,115
1604795367,88,105
1604798959,98,147
1604802556,102,105
1604806144,103,97
1604809752,76,106
1604813320,92,117
1604816915,96,176
1604820507,93,100
1604824141,91,108
1604827706,102,210
1604831302,87,116
1604834936,101,91
1604838505,81,126
1604842132,112,174
1604845735,102,141
1604849330,98,103
1604852911,84,111
1604856543,81,91
1604860145,297,84
1604863714,126,153
1604867315,107,93
1604870914,254,87
1604874557,164,117
1604878165,165,70
1604881777,202,93
1604885345,191,140
1604888944,180,85
1604892599,178,119
1604896174,147,134
1604899742,134,106
1604903345,135,124
1604906937,128,144
1604910580,134,144
1604914175,107,121
1604917753,103,129
1604921351,120,90
1604924958,120,121
1604928595,142,104
1604932167,117,95
1604935762,101,88
1604939404,123,69
1604943029,128,86
1604946612,110,94
1604950219,110,81
1604953819,127,75
1604957409,99,88
1604961013,124,76
1604964574,110,95
1604968176,113,94
1604971800,152,83
1604975409,91,76
1604978974,86,94
1604982609,102,89
1604986171,95,108
1604989796,75,78
1604993395,81,84
1604996966,84,113
1605000595,84,92
1605004190,101,109
1605007792,54,102
1605011360,92,90
1605014967,94,92
