DateTime,AddedIPs,RemovedIPs
1604229659,27,60
1604233259,69,37
1604236866,86,56
1604240440,67,64
1604244039,68,55
1604247675,182,52
1604251249,130,71
1604254853,81,45
1604258458,161,69
1604262088,106,53
1604265689,77,56
1604269291,158,86
1604272886,84,63
1604276464,78,72
1604280097,129,65
1604283691,85,70
1604287272,113,67
1604290897,97,65
1604294471,116,142
1604298098,103,55
1604301669,113,73
1604305276,101,36
1604308908,96,52
1604312504,101,57
1604316113,78,47
1604319688,104,42
1604323319,80,44
1604326926,70,22
1604330532,81,40
1604334134,68,41
1604337709,77,44
1604341330,87,86
1604344913,59,51
1604348536,65,45
1604352137,77,58
1604355710,58,50
1604359329,74,55
1604362909,79,49
1604366537,61,52
1604370138,80,54
1604373723,82,58
1604377336,74,51
1604380935,90,58
1604384511,74,65
1604388133,61,55
1604391734,74,60
1604395309,82,53
1604398939,84,35
1604402540,72,43
1604406144,80,55
1604409744,84,131
1604413324,76,31
1604416925,85,62
1604420552,89,54
1604424155,82,47
1604427728,63,55
1604431340,77,64
1604434954,89,42
1604438556,62,45
1604442158,75,45
1604445729,82,41
1604449361,60,32
1604452963,80,30
1604456532,70,51
1604460169,76,60
1604463732,66,55
1604467359,61,56
1604470963,90,78
1604474561,67,57
1604478158,69,52
1604481762,74,69
1604485362,74,45
1604488960,62,97
1604492527,78,132
1604496152,74,213
1604499755,84,133
1604503357,71,75
1604506960,118,70
1604510542,41,52
1604514166,67,69
1604517766,76,67
1604521368,59,65
1604524970,62,35
1604528573,98,67
1604532170,62,53
1604535751,60,51
1604539346,91,86
1604542970,76,79
1604546573,80,45
1604550143,78,76
1604553748,63,49
1604557373,78,71
1604560945,89,68
1604564570,65,58
1604568174,77,61
1604571774,89,81
1604575346,76,47
1604578973,93,87
1604582548,76,77
1604586149,82,77
1604589750,69,68
1604593378,56,78
1604596981,63,57
1604600549,60,76
1604604179,54,68
1604607776,78,52
1604611347,58,57
1604614976,34,57
1604618577,58,28
1604622181,63,61
1604625777,49,64
1604629347,48,64
1604632982,73,44
1604636545,64,61
1604640147,68,57
1604643770,57,67
1604647369,57,88
1604650966,70,73
1604654540,71,60
1604658139,73,75
1604661770,69,48
1604665366,72,68
1604668944,46,62
1604672542,59,55
1604676146,87,69
1604679770,60,103
1604683344,67,59
1604686944,64,53
1604690546,76,70
1604694148,74,35
1604697744,65,125
1604701378,56,87
1604704945,55,48
1604708584,55,47
1604712148,58,69
1604715772,53,54
1604719353,43,66
1604722948,51,51
1604726550,57,32
1604730150,48,31
1604733746,57,67
1604737365,45,79
1604740966,51,59
1604744537,72,63
1604748166,70,38
1604751742,61,67
1604755341,54,69
1604758940,63,59
1604762536,75,59
1604766137,80,76
1604769741,84,74
1604773371,76,77
1604776938,59,106
1604780564,60,79
1604784142,70,63
1604787761,51,124
1604791332,72,87
1604794962,45,82
1604798555,58,127
1604802126,60,89
1604805743,69,82
1604809324,42,75
1604812952,69,76
1604816524,65,134
1604820113,62,75
1604823714,62,87
1604827308,75,188
1604830906,59,98
1604834532,61,59
1604838110,64,94
1604841731,79,137
1604845332,67,120
1604848930,74,80
1604852540,65,92
1604856140,71,75
1604859745,268,68
1604863344,99,113
1604866922,84,68
1604870545,223,63
1604874154,141,100
1604877733,154,51
1604881345,176,72
1604884945,128,118
1604888577,146,69
1604892189,156,96
1604895740,131,112
1604899348,122,93
1604902947,114,88
1604906569,111,103
1604910175,115,90
1604913777,95,94
1604917360,91,109
1604920956,108,80
1604924559,113,89
1604928192,126,79
1604931793,106,82
1604935367,85,62
1604938973,110,56
1604942623,115,60
1604946177,92,65
1604949813,87,54
1604953384,106,58
1604956983,83,59
1604960614,100,46
1604964178,83,73
1604967811,92,67
1604971402,106,66
1604975009,76,58
1604978607,70,79
1604982208,88,80
1604985809,80,89
1604989373,70,67
1604992999,67,51
1604996609,74,64
1605000174,70,84
1605003770,92,75
1605007397,50,79
1605010979,76,69
1605014603,82,73
1605018218,88,61
1605021791,77,82
1605025416,84,82
1605029007,116,64
1605032648,99,62
1605036246,111,65
1605039803,71,71
1605043423,68,54
1605047023,62,57
1605050619,54,58
1605054238,57,56
1605057798,63,71
1605061421,55,70
1605064997,51,72
1605068612,64,74
1605072184,64,73
1605075804,87,81
1605079406,66,65
1605082980,51,76
1605086605,71,89
1605090177,70,74
1605093776,59,70
1605097404,81,71
1605100983,69,65
1605104614,83,80
1605108187,49,67
1605111812,30,87
1605115384,36,43
1605119014,38,69
1605122612,59,72
1605126183,43,51
1605129810,56,65
1605133377,56,79
1605137006,39,70
1605140587,31,59
1605144203,40,99
1605147776,40,77
1605151405,37,96
1605154963,37,78
1605158560,43,61
1605162156,36,64
1605165779,28,102
1605169348,43,82
1605172948,40,89
1605176547,44,75
1605180171,49,70
1605183746,52,84
1605187341,41,73
1605190968,54,93
1605194544,49,82
1605198170,42,57
1605201770,45,62
1605205372,61,50
1605208940,44,59
1605212569,50,67
1605216145,54,60
1605219741,51,43
1605223371,45,53
1605226951,33,58
1605230574,53,48
1605234141,40,52
1605237746,45,73
1605241335,46,56
1605244963,39,55
1605248540,50,67
1605252150,47,75
1605255747,42,67
1605259319,44,62
1605262918,54,61
1605266545,49,74
1605270117,26,76
1605273743,61,65
1605277343,42,61
1605280945,47,79
1605284520,43,64
1605288114,42,56
1605291743,48,57
1605295317,57,65
1605298910,36,66
1605302508,32,54
1605306106,35,52
1605309705,36,63
1605313312,47,66
1605316906,51,52
1605320531,18,49
1605324143,38,47
1605327731,46,57
1605331326,39,66
1605334925,35,61
1605338497,45,73
1605342119,41,47
1605345694,40,54
1605349289,34,59
1605352890,32,67
1605356514,31,62
1605360112,43,62
1605363684,41,71
1605367285,35,80
1605370910,35,83
1605374517,53,90
1605378082,36,74
1605381706,81,53
1605385305,39,60
1605388874,34,64
1605392475,30,54
1605396099,38,69
1605399704,46,57
1605403298,48,74
1605406899,42,62
1605410481,46,70
1605414092,35,54
1605417664,22,75
1605421263,20,76
1605424883,38,73
1605428457,44,80
1605432079,33,84
1605435679,38,68
1605439280,46,92
1605442851,43,88
1605446472,44,86
1605450073,35,72
1605453667,32,105
1605457241,35,94
1605460847,194,69
1605464448,98,87
1605468077,94,72
1605471676,129,84
1605475275,86,92
1605478851,110,95
1605482481,126,100
1605486055,85,114
1605489678,88,116
1605493272,63,113
1605496858,53,99
1605500470,56,91
1605504043,56,101
1605507637,64,101
1605511234,54,103
1605514858,51,82
1605518459,56,106
1605522058,46,72
1605525632,41,86
1605529254,38,86
1605532851,40,100
1605536431,47,77
1605540057,45,99
1605543655,36,95
1605547231,23,78
1605550828,40,84
1605554428,44,69
1605558019,43,96
1605561648,65,74
1605565219,28,81
1605568848,78,75
1605572448,38,89
1605576016,41,84
1605579609,45,86
1605583286,37,69
1605586823,45,81
1605590419,35,88
1605594018,45,81
1605597590,42,78
1605601214,48,71
1605604792,44,73
1605608393,44,86
1605611991,52,67
1605615614,44,89
1605619211,45,96
1605622811,51,95
1605626411,49,87
1605629980,26,103
1605633587,50,112
1605637176,21,112
1605640800,43,119
1605644390,48,87
1605647986,24,80
1605651558,35,87
1605655156,45,77
1605658882,60,77
1605662357,51,77
1605665953,45,97
1605669584,42,92
1605673171,48,79
1605676786,377,95
1605680385,609,78
1605683998,416,95
1605687615,353,88
1605691229,363,100
1605694841,364,95
1605698470,188,101
1605702079,163,99
1605705682,109,110
1605709255,75,102
1605712859,63,71
1605716465,60,50
1605720065,54,51
1605723665,31,31
1605727288,30,63
1605730890,56,45
1605734459,41,56
1605738080,55,57
1605741659,49,46
1605745381,44,36
1605748885,43,41
1605752454,64,68
1605756087,38,52
1605759677,49,59
1605763250,49,50
1605766849,46,53
1605770446,47,37
1605774071,45,66
1605777645,42,45
1605781242,37,56
1605784843,36,45
1605788474,47,64
1605792065,37,66
1605795678,28,54
1605799255,35,50
1605802874,50,47
1605806479,44,59
1605810057,37,58
1605813653,43,55
1605817272,37,55
1605820883,46,62
1605824560,34,49
1605828039,43,56
1605831739,35,43
1605835243,63,42
1605838838,46,59
1605842444,65,62
1605846034,36,53
1605849630,47,47
1605853233,51,47
1605856857,55,49
1605860456,33,52
1605864060,36,54
1605867630,36,43
1605871261,25,57
1605874837,36,21
1605878436,29,65
1605882062,33,52
1605885655,23,50
1605889232,34,54
1605892836,27,55
1605896458,45,47
1605900053,28,66
1605903657,23,57
1605907253,36,41
1605910847,46,31
1605914450,29,32
1605918152,37,59
