DateTime,AddedIPs,RemovedIPs
1604205073,84,92
1604210480,86,77
1604212274,69,62
1604217679,58,63
1604219480,65,57
1604221379,62,39
1604228475,40,47
1604230266,49,59
1604237517,65,67
1604241102,46,53
1604246474,44,46
1604248278,50,59
1604253731,62,67
1604255542,62,59
1604257270,59,62
1604259068,78,52
1604262665,43,33
1604266291,40,19
1604269877,21,33
1604273498,24,42
1604277080,73,22
1604280665,62,35
1604284273,25,38
1604286079,47,56
1604289664,56,47
1604291473,332,96
1604295070,61,53
1604296874,46,44
1604302267,28,42
1604307669,42,34
1604309482,36,23
1604313075,25,32
1604314876,32,25
1604316685,41,50
1604322072,25,48
1604323875,37,36
1604327466,41,52
1604334672,65,317
1604338279,51,63
1604341875,60,53
1604343687,57,72
1604349080,62,57
1604354493,52,72
1604356282,70,59
1604359885,55,64
1604363518,98,56
1604367073,90,73
1604370673,64,49
1604374267,62,76
1604377874,85,93
1604381476,66,79
1604385070,79,54
1604390528,41,103
1604395870,63,41
1604397668,45,38
1604403076,36,55
1604406671,50,50
1604410271,60,39
1604415690,31,49
1604417476,38,74
1604421084,88,73
1604424709,60,53
1604430069,50,68
1604431886,81,69
1604435478,61,67
1604440875,55,55
1604444471,59,57
1604446271,53,76
1604449877,97,50
1604453490,89,68
1604458869,88,95
1604464279,86,86
1604467889,67,86
1604471473,75,66
1604473264,59,49
1604478673,52,69
1604482289,64,68
1604487667,62,53
1604489491,49,67
1604491303,62,65
1604496685,65,72
1604500276,66,59
1604505710,43,64
1604511077,54,72
1604514826,73,62
1604518268,205,70
1604521872,62,96
1604523668,71,88
1604529079,86,83
1604532691,81,68
1604534471,68,81
1604536286,96,74
1604539884,117,66
1604543469,65,84
1604547147,94,94
1604550673,103,102
1604554269,84,110
1604557865,138,80
1604561476,71,61
1604565100,62,82
1604570551,78,72
1604572287,68,59
1604575985,63,88
1604579473,76,72
1604583073,68,60
1604586683,50,171
1604590269,77,76
1604593907,82,74
1604599279,67,59
1604601105,63,57
1604604701,60,60
1604608276,60,72
1604611879,63,64
1604615474,162,68
1604619080,72,77
1604622687,93,76
1604626274,98,68
1604628074,69,71
1604633470,76,106
1604635265,106,87
1604638866,73,80
1604646070,76,79
1604647876,61,68
1604651483,64,59
1604655080,67,60
1604658674,61,47
1604662459,46,65
1604667675,58,78
1604669486,69,55
1604671277,57,54
1604676674,45,58
1604682113,70,76
1604685666,56,72
1604689273,72,69
1604691075,58,56
1604696490,59,61
1604698305,53,78
1604701874,73,64
1604705470,56,64
1604712698,144,76
1604718076,72,86
1604723478,84,108
1604727071,79,78
1604730686,86,74
1604734278,62,75
1604739708,71,80
1604741472,84,70
1604745066,72,58
1604746878,68,53
