DateTime,AddedIPs,RemovedIPs
1605212101,246,0
1605213172,10,12
1605215084,16,0
1605216986,8,0
1605217686,500,499
1605219876,568,369
1605221817,13,6
1605223448,47,0
1605223708,13,11
1605225643,13,9
1605226502,209,3712
1605227585,13,25
1605229464,15,22
1605231383,12,16
1605233349,14,17
1605235237,204,84
1605237143,9,34
1605237302,251,0
1605239112,53,95
1605240992,18,0
1605242929,15,34
1605244805,109,0
1605245812,14,14
1605247756,17,20
1605248102,177,0
1605249622,8,0
1605251532,14,18
1605253509,17,33
1605255402,24,0
1605257297,220,0
1605261134,21,38
1605265027,175,19
1605266932,248,19
1605268818,15,15
1605270783,7,13
1605273639,168,0
1605275567,15,19
1605277504,19,33
1605279392,275,0
1605281307,10,22
1605283266,19,26
1605286130,173,6
1605287702,218,0
1605289011,8,8
1605290918,16,15
1605292885,15,10
1605295728,141,35
1605297670,21,12
1605299545,222,0
1605301469,16,12
1605303406,7,21
1605305304,15,0
1605305702,251,1
1605307238,9,10
1605309176,509,506
1605311079,11,14
1605311557,349,380
1605312018,44,94
1605313030,10,7
1605314932,210,4256
1605317772,12,11
1605319975,60,25
1605321002,272,0
1605322856,18,9
1605323765,34,0
1605324743,95,9
1605326691,13,10
1605328580,9,23
1605330510,20,16
1605331802,190,0
1605332466,5,12
1605333365,10,14
1605334337,16,17
1605337253,20,11
1605338102,184,0
1605340102,18,39
1605341702,91,0
1605343982,12,39
1605345856,18,0
1605347782,10,20
1605348902,318,0
1605349739,16,0
1605351676,13,11
1605353555,93,11
1605355526,15,13
1605357377,13,4
1605359306,15,0
1605359702,200,0
1605361237,7,13
1605363168,11,12
1605365061,19,20
1605366986,7,9
1605368936,215,7
1605370835,10,17
1605372759,9,8
1605374714,134,0
1605377576,10,23
1605378602,212,0
1605379484,11,15
1605381434,14,0
1605383347,88,12
1605385235,33,18
1605387137,24,14
1605389098,20,14
1605391010,149,5
1605392909,18,17
1605394849,18,6
1605396772,154,5
1605398680,15,11
1605400613,193,2943
1605400810,500,499
1605402526,20,17
1605402756,378,359
1605405396,17,5
1605407305,106,20
1605408248,41,83
1605409265,15,16
1605410101,180,0
1605411146,13,12
1605412084,42,75
1605413075,21,0
1605413702,96,0
1605415954,12,23
1605417903,30,22
1605418085,6,0
1605419779,77,9
1605421708,16,18
1605423649,15,0
1605426527,121,34
1605428429,12,0
1605429002,237,0
1605430336,18,0
1605432287,16,27
1605432601,88,0
1605435170,19,13
1605437073,13,13
1605439168,18,11
1605439802,174,0
1605441146,16,9
1605443090,23,15
1605443403,113,0
1605445967,10,30
1605448980,21,12
1605451015,226,9
