DateTime,AddedIPs,RemovedIPs
1605064354,61,64
1605066249,68,70
1605068169,89,79
1605070115,77,76
1605072020,80,85
1605073927,64,79
1605075878,61,72
1605077767,85,81
1605079686,69,75
1605081655,82,81
1605083531,68,97
1605085453,60,75
1605087421,78,110
1605089301,52,85
1605091258,65,100
1605093166,67,4682
1605095089,89,102
1605097027,1973,0
1605098886,108,123
1605100805,90,70
1605102753,107,99
1605104658,96,89
1605106565,122,77
1605108514,85,93
1605110407,104,88
1605112332,106,98
1605114284,112,54
1605116166,158,93
1605118091,97,55
1605120033,108,92
1605121925,82,71
1605123847,120,69
1605125795,142,77
1605127687,100,82
1605129605,99,67
1605131554,158,76
1605133449,102,69
1605135367,108,86
1605137311,90,71
1605139218,1536,0
1605141130,66,73
1605143081,64,58
1605144968,89,59
1605146891,54,69
1605148878,74,61
1605150736,72,44
1605152677,50,81
1605154623,73,72
1605156506,73,55
1605158438,70,54
1605160355,61,59
1605162256,78,51
1605164167,68,65
1605166114,87,67
1605168012,78,58
1605169931,77,58
1605171882,72,67
1605173768,102,64
1605175718,64,64
1605177664,80,80
1605179570,67,4433
1605181475,89,82
1605183412,1822,0
1605185303,131,78
1605187251,134,70
1605189186,115,71
1605191078,110,78
1605193018,97,74
1605194937,95,74
1605196850,113,88
1605198755,87,93
1605200719,147,99
1605202566,105,63
1605204487,138,71
1605206413,136,76
1605208330,133,73
1605210273,107,64
1605212170,134,93
1605214089,115,70
1605216032,130,93
1605217925,127,63
1605219871,100,58
1605221816,116,69
1605223706,102,66
1605225643,1436,0
1605227585,74,54
1605229464,73,56
1605231383,111,37
1605233349,72,54
1605235237,85,53
1605237143,55,48
1605239112,90,67
1605240992,64,50
1605242928,73,62
1605244862,67,63
1605246727,83,49
1605248892,68,58
1605250811,75,71
1605252758,52,46
1605254652,69,62
1605256570,70,76
1605258514,63,59
1605260411,58,70
1605262330,47,50
1605264273,55,59
1605266166,79,4362
1605268086,90,81
1605270029,1888,0
1605271928,102,84
1605273871,123,86
1605275764,139,68
1605277685,121,55
1605279640,140,82
1605281535,104,75
1605283451,113,68
1605285388,114,92
1605287289,91,55
1605289204,126,68
1605291154,116,71
1605293047,111,95
1605294970,128,80
1605296909,109,74
1605298804,108,66
1605300723,127,98
1605302674,120,102
1605304563,119,85
1605306489,110,71
1605308438,103,93
1605310334,77,81
1605312278,1489,0
1605314168,94,61
1605316087,71,52
1605318032,81,52
1605319975,64,40
1605321880,60,33
1605323793,83,61
1605325685,55,51
1605327607,59,54
1605329551,59,62
1605331456,51,57
1605333367,61,50
1605335315,62,67
1605337252,61,72
1605339162,70,67
1605341077,85,50
1605342967,68,83
1605345127,61,91
1605347050,82,74
1605348993,82,81
1605350885,83,57
1605352807,71,4490
1605354757,111,100
1605356648,1862,0
1605358841,137,121
1605360733,105,109
1605362652,97,87
1605364589,99,76
1605366488,118,65
1605368410,113,89
1605370350,108,66
1605372246,104,91
1605374168,113,73
1605376112,111,102
1605378004,92,69
1605379945,150,90
1605381874,97,60
1605383767,147,74
1605385687,128,67
1605387636,151,63
1605389533,123,69
1605391449,111,53
1605393389,118,72
1605395287,91,71
1605397208,140,88
1605399151,1456,0
1605401046,93,66
1605402969,93,69
1605404916,57,80
1605406805,266,45
1605408726,79,60
1605410676,98,51
1605412582,66,61
1605414489,76,40
1605416438,58,63
1605418325,57,62
1605420251,71,67
1605422191,60,66
1605424086,62,61
1605426009,65,58
1605427951,53,68
1605429845,84,42
1605431769,46,56
1605433712,67,56
1605435605,53,53
1605437544,71,68
1605439476,81,4446
1605441366,172,114
1605443290,1817,0
1605445231,106,103
1605447124,108,76
1605448978,128,59
1605451014,97,76
1605452898,32,91
1605454820,52,67
1605456764,36,75
1605458664,198,66
1605460585,220,62
1605462570,95,58
1605464447,106,77
1605466377,101,51
1605468313,118,81
1605470198,194,91
1605472103,145,56
1605474071,132,80
1605476019,122,82
1605477853,105,83
1605479876,163,100
1605481685,138,72
1605483609,198,106
1605485551,1469,0
1605487447,136,62
1605489369,96,64
1605491313,75,43
1605493206,59,43
1605495124,56,51
1605497074,48,63
1605498966,118,53
1605500891,67,71
1605502702,74,41
1605504899,97,54
1605506911,74,60
1605508804,56,57
1605510724,60,48
1605512675,35,66
1605514567,72,70
1605516483,47,52
1605518428,80,67
1605520333,65,62
1605522254,64,82
1605524166,68,88
1605526228,59,4547
1605528286,1890,0
1605530202,97,96
1605532102,108,104
1605533987,80,67
1605535942,111,104
1605537861,81,75
1605539802,100,109
1605541714,75,71
1605543607,76,85
1605545549,84,82
1605547450,69,60
1605549722,118,101
1605551524,89,62
1605553450,140,74
1605555389,99,78
1605557285,66,55
1605559343,92,106
1605561173,111,45
1605563078,86,82
1605564982,110,60
1605566919,108,68
1605569051,98,101
1605571217,1601,0
1605573126,90,58
1605575053,75,79
1605576967,102,59
1605579152,67,78
1605581048,58,59
1605582971,81,78
1605584914,53,63
1605586805,64,76
1605588724,84,70
1605590677,62,51
1605592565,71,70
1605594486,77,58
1605596440,64,77
1605598576,82,66
1605600501,60,45
1605602430,81,96
1605604325,60,37
1605606249,49,80
1605608191,79,58
1605610084,45,60
1605612007,75,4725
1605613924,103,97
1605615851,1926,0
1605617788,137,191
1605619689,95,92
1605621624,94,76
1605623551,94,60
1605625452,107,46
1605627364,148,98
1605629309,102,102
1605631204,116,75
1605633126,83,89
1605635071,108,85
1605636963,127,90
1605638882,113,67
1605640827,144,73
1605642723,64,54
1605644676,134,69
1605646563,116,75
1605648482,98,65
1605650434,130,79
1605652326,117,73
1605654249,93,73
1605656191,111,80
1605658087,1554,0
1605660008,70,128
1605661948,88,62
1605663847,76,67
1605665763,87,52
1605667719,61,42
1605669603,98,35
1605671526,90,93
1605673477,60,71
1605675367,71,75
1605677284,56,69
1605679235,76,80
1605681127,69,55
1605683055,62,57
1605684991,95,59
1605686891,74,54
1605688804,54,46
1605690753,83,76
1605692646,86,55
1605694566,76,71
1605696509,70,79
1605698405,72,3966
1605700324,142,96
1605702276,1818,0
1605704165,129,104
1605706088,112,89
1605708031,100,63
1605709929,105,75
1605711850,83,56
1605713790,127,98
1605715685,88,80
1605717604,104,84
1605719549,131,75
1605721451,85,63
1605723362,115,96
1605725308,90,57
1605727202,119,86
1605729124,154,73
1605731075,84,84
1605732964,114,65
1605734887,95,69
1605736830,107,81
1605738728,104,62
1605740651,124,64
1605742592,117,79
1605744488,1436,0
1605746406,95,84
1605748353,80,61
1605750247,68,47
1605752167,57,43
1605754111,58,50
1605756007,49,67
1605757925,102,58
1605759876,64,58
1605761767,85,67
1605763689,45,47
1605765644,95,56
1605767534,65,60
1605769480,66,55
1605771392,74,72
1605773286,53,56
1605775208,96,71
1605777150,62,57
1605779046,84,65
1605780963,86,77
1605782909,53,40
1605784804,64,4327
1605786724,105,128
1605788674,1907,0
1605790565,132,71
1605792495,116,97
1605794432,95,71
1605796327,107,75
1605798249,91,80
1605800188,112,109
1605802089,78,73
1605804003,87,52
1605805949,109,79
1605807850,115,77
1605809763,100,78
1605811706,105,69
1605813635,106,89
1605815563,83,80
1605817508,115,84
1605819366,112,70
1605821287,92,69
1605823228,98,100
1605825128,97,76
1605827049,96,77
1605829009,114,103
1605830932,1541,0
1605832840,91,44
1605834796,57,64
1605836674,50,50
1605838578,84,56
1605840531,79,52
1605842430,75,84
1605844345,66,57
1605846305,65,51
1605848189,71,55
1605850106,59,55
1605852056,63,73
1605853941,65,58
1605855884,61,63
1605857825,66,75
1605859950,76,78
1605861866,67,62
1605863805,76,73
1605865722,68,74
1605867637,72,91
1605869551,64,68
1605871452,62,4222
1605873407,138,109
1605875344,1790,1
1605877243,128,127
1605879130,117,75
1605881075,102,54
1605882968,106,67
1605884908,65,55
1605886807,93,96
1605888726,90,73
1605890671,96,71
1605892810,157,78
1605894728,93,90
1605896672,99,46
1605898568,101,80
1605900488,112,58
1605902442,99,75
1605904328,98,63
1605906254,94,80
1605908193,108,99
1605910089,108,69
1605912007,96,72
1605913966,90,73
1605915910,104,87
1605917810,1450,0
1605919704,70,80
1605921643,80,67
1605923589,73,46
1605925476,40,43
1605927426,55,45
1605929330,77,53
1605931236,54,68
1605933191,69,43
1605935068,46,57
1605937013,83,71
1605938928,59,55
1605940839,39,60
1605942726,38,44
1605944654,54,58
1605946567,81,54
1605948511,58,75
1605950403,64,51
1605952330,64,99
1605954280,49,80
1605956168,60,59
1605958333,60,4100
1605960252,1782,0
1605962214,109,130
1605964118,66,55
1605966029,114,67
1605967972,74,60
1605969888,86,71
1605971819,102,86
1605973685,79,85
1605975609,91,76
1605977587,99,76
1605979482,100,52
1605981395,104,68
1605983310,111,72
1605985249,100,71
1605987123,118,68
1605989074,108,64
1605990963,93,89
1605992883,92,87
1605994834,116,95
1605996724,66,73
1605998673,95,53
1606000603,104,85
1606002500,109,94
1606004434,1448,0
1606006350,82,54
1606008250,47,42
1606010164,60,43
1606012109,261,48
1606014025,70,70
1606015928,82,65
1606017876,82,57
1606019766,62,57
1606021688,63,56
1606023631,95,56
1606025529,52,49
