DateTime,AddedIPs,RemovedIPs
1604822402,261,502
1604824202,201,286
1604826903,141,530
1604829602,151,501
1604831403,211,194
1604834102,1247,289
1604836803,1252,276
1604838603,724,131
1604841304,1164,159
1604844003,1246,249
1604845804,689,172
1604848504,810,1054
1604851204,564,316
1604853004,377,431
1604855703,598,50
1604858404,578,78
1604861104,650,283
1604862904,277,774
1604865604,294,972
1604867404,296,667
1604870104,300,853
1604872804,156,97
1604874605,156,80
1604877304,172,250
1604880004,224,172
1604881804,164,420
1604884504,356,494
1604887204,707,847
1604889004,221,403
1604891704,497,786
1604894403,275,494
1604896204,196,340
1604898903,307,691
1604901604,255,441
1604903404,185,395
1604906103,270,583
1604908803,430,322
1604910603,207,279
1604913303,198,367
1604916004,240,128
1604917803,130,119
1604920504,236,179
1604923203,248,224
1604925003,269,149
1604927703,301,246
1604930402,166,767
1604932203,168,301
1604934902,316,455
1604937602,725,296
1604939403,420,157
1604942103,761,338
1604944803,462,299
1604946602,324,183
1604949303,531,313
1604952002,1165,356
1604953803,952,281
1604956503,892,240
1604959202,637,196
1604961003,471,140
1604963703,531,229
1604966404,464,194
1604968203,300,274
1604970903,517,337
1604973603,390,183
1604975403,294,232
1604978103,532,298
1604980803,798,429
1604982603,316,499
1604985303,468,862
1604988003,778,553
1604989804,316,179
1604992503,494,408
1604995202,621,913
1604997002,863,815
1604999703,700,1047
1605002403,749,591
1605004203,407,467
1605006903,847,510
1605009603,774,420
1605011403,360,318
1605014103,890,436
1605016803,897,461
1605018604,1003,281
1605021303,845,478
1605024003,792,705
1605025803,281,421
1605028504,851,454
1605031203,590,707
1605033004,536,465
1605035704,647,424
1605038403,700,538
1605040204,427,653
1605042903,571,968
1605045604,757,621
1605047403,292,412
1605050103,506,744
1605052804,449,811
1605054603,286,455
1605057303,593,729
1605060003,689,866
1605061803,618,604
1605064503,458,1290
1605067203,522,701
1605069003,407,395
1605071702,493,660
1605074403,441,653
1605076204,525,459
1605078903,847,711
1605081604,452,657
1605083403,582,349
1605086103,1091,617
1605088804,675,733
1605091504,410,655
1605093302,318,318
1605096004,539,530
1605098703,465,457
1605100502,230,438
1605103202,334,649
1605105902,351,954
1605107703,387,297
1605110403,506,581
1605113103,435,613
1605114903,338,386
1605117604,387,442
1605120303,182,727
1605122103,189,574
1605124803,300,655
1605127503,452,795
1605129302,319,814
1605132002,432,868
1605133802,271,2731
1605136503,3148,6
1605139203,914,598
1605141902,723,401
1605143703,580,336
1605146402,692,255
1605149102,610,313
1605150903,289,397
1605153602,370,466
1605156303,569,466
1605158103,336,313
1605160803,583,512
1605163502,664,229
1605165303,402,166
1605168003,600,334
1605170702,929,338
1605172503,552,412
1605175203,710,404
1605177902,635,409
1605179703,397,624
1605182402,632,1129
1605185103,473,768
1605186902,529,564
