DateTime,AddedIPs,RemovedIPs
1605543723,2,0
1605544923,1,0
1605546124,2,3
1605546723,1,0
1605547324,0,12
1605548524,4,4
1605549124,2,9
1605549724,3,2
1605550324,4,0
1605550924,5,1
1605552724,1,12
1605553324,0,7
1605555723,2,6
1605556924,6,5
1605558724,2,1
1605559324,4,0
1605561724,3,0
1605562924,4,8
1605564123,5,0
1605565324,1,5
1605566524,4,8
1605567123,3,0
1605567724,1,1
1605568924,3,21
1605570124,4,0
1605570724,4,0
1605571323,1,2
1605573723,6,13
1605574924,11,1
1605575523,19,1
1605576124,5,0
1605577323,6,6
1605578524,11,2
1605579723,7,0
1605580924,3,1
1605581523,10,1
1605582124,8,0
1605582724,3,1
1605583324,2,13
1605583923,6,1
1605584524,6,0
1605585723,5,4
1605586924,8,3
1605587524,4,0
1605588124,10,2
1605588724,6,0
1605589324,2,3
1605589924,3,0
1605590523,2,2
1605591124,4,2
1605592323,3,0
1605592924,5,2
1605594124,2,0
1605594724,2,0
1605595323,8,1
1605597724,1,10
1605598324,4,0
1605598924,1,0
1605600124,1,5
1605601324,2,2
1605602524,3,3
1605603124,4,8
1605603724,5,8
1605604324,6,2
1605604924,2,0
1605605524,1,0
1605606124,1,2
1605607324,5,9
1605607924,1,0
1605608523,2,3
1605609723,3,5
1605610324,2,0
1605611524,5,0
1605612124,3,0
1605612724,1,1
1605613323,10,0
1605614523,1,4
1605615724,4,0
1605616324,1,5
1605616924,2,14
1605618123,2,2
1605619325,6,13
1605620524,3,0
1605621124,3,1
1605621724,6,9
1605622924,1,0
1605624124,3,6
1605625324,1,1
1605625924,7,0
1605626524,1,0
1605627723,0,8
1605628924,6,1
1605629524,1,0
1605630124,3,0
1605630724,5,6
1605631324,2,6
1605632524,3,9
1605633123,4,16
1605634324,1,0
1605634924,1,0
1605635523,0,7
1605636724,4,0
1605637323,2,0
1605638524,2,1
1605639723,6,3
1605640924,3,2
1605642123,3,14
1605642724,2,4
1605643323,1,0
1605644523,1,11
1605645724,3,1
1605646924,2,0
1605647524,3,0
1605648124,9,0
1605648724,1,2
1605649324,4,7
1605649924,1,21
1605651123,1,0
1605652924,0,10
1605654124,4,0
1605655324,7,12
1605656524,5,0
1605657123,9,3
1605658324,2,11
1605658924,0,8
1605659524,2,19
1605660124,1,0
1605661323,1,3
1605661924,0,3
1605662524,4,1
1605663723,2,2
1605664324,1,2
1605665523,2,0
1605666124,2,0
1605666724,0,2
1605667323,3,3
1605668524,1,1
1605669123,0,4
1605669723,0,13
1605670924,2,0
1605672124,1,5
1605673324,3,15
1605673924,0,5
1605674524,49,0
1605675724,1,0
1605676324,1,3
1605676923,1,16
1605678124,1,5
1605678723,1,0
1605679324,2,1
1605680524,1,2
1605681124,2,0
1605681723,1,0
1605682924,2,1
1605684124,3,2
1605685324,1,42
1605685924,1,0
1605686523,1,2
1605687724,1,0
1605688323,1,1
1605688924,1,8
1605689524,2,4
1605690724,0,8
1605691324,2,0
1605691924,6,14
1605692524,9,0
1605693124,4,1
1605694323,1,1
1605694924,4,8
1605696123,3,0
1605697324,0,3
1605699124,0,1
1605700324,1,1
1605701524,2,0
1605702124,4,9
1605703323,1,40
1605704524,1,0
1605705724,3,0
1605706924,0,6
1605708724,0,2
1605709324,1,0
1605710524,1,13
1605711124,0,5
1605712923,3,41
1605714124,8,3
1605714724,1,4
1605715324,0,2
1605715924,5,0
1605716523,36,13
1605717124,0,3
1605717724,5,12
1605718323,1,0
1605718923,2,11
1605720123,2,5
1605720724,2,0
1605721323,1,12
1605722523,3,0
1605723724,10,2
1605724323,1,12
1605726123,2,7
1605728524,0,17
1605730324,11,1
1605730924,2,0
1605732124,1,9
1605733324,4,2
1605734523,2,3
1605735724,2,10
1605736924,7,0
1605737524,18,4
1605738124,6,8
1605739324,4,1
1605739923,1,0
1605740524,1,0
1605741723,4,6
1605742923,1,4
1605743524,2,1
1605745323,1,22
1605746524,2,5
1605747123,0,1
1605747724,2,10
1605748923,1,0
1605750124,2,3
1605751323,5,0
1605752524,7,0
1605753123,13,1
1605753723,3,18
1605756123,1,1
1605757323,1,6
1605758523,1,6
1605759724,1,7
1605760924,4,0
1605762124,9,37
1605762724,0,58
1605763323,4,0
1605763923,2,3
1605765123,1,0
1605765723,2,0
1605766323,3,10
1605768123,2,5
1605769323,2,8
1605770523,3,5
1605772924,1,2
1605774123,1,1
1605775324,7,10
1605776523,1,15
1605777724,5,0
1605778924,6,9
1605779523,2,0
1605780124,4,0
1605781323,0,2
1605781923,1,2
1605782523,1,4
1605783723,1,5
1605784924,2,1
1605785524,3,0
1605786123,3,4
1605787323,3,4
1605789723,2,2
1605790323,3,6
1605791523,1,9
1605792123,2,0
1605793324,1,3
1605794523,27,3
1605795723,3,9
1605797524,2,0
1605798123,1,0
1605799923,0,2
1605800523,0,2
1605801724,9,12
1605802923,7,0
1605804123,8,10
1605804723,3,0
1605805923,2,4
1605806523,1,0
1605807723,3,6
1605808923,1,14
1605810123,3,0
1605811323,12,18
1605812524,19,0
1605813123,6,0
1605813723,8,1
1605814923,13,13
1605816123,5,30
1605816723,8,3
1605817324,1,3
1605818524,3,0
1605819723,4,15
1605820923,6,0
1605822123,6,10
1605823323,3,23
1605824523,8,0
1605825123,4,1
1605826324,3,0
1605826923,1,5
1605828124,1,4
1605828724,4,0
1605829323,2,0
1605830524,3,16
1605831724,3,0
1605832924,0,3
1605834123,2,0
1605835323,5,0
1605835924,12,1
1605836523,1,23
1605837723,4,1
1605838924,0,2
1605840123,0,7
1605841323,1,6
1605842523,3,1
1605843724,4,3
1605844923,2,4
1605846124,2,14
1605846724,1,0
1605847324,2,0
1605847924,3,8
1605848524,1,1
1605849724,5,14
1605850324,1,0
1605850924,5,0
1605852124,1,1
1605852723,3,0
1605853323,0,18
1605854524,1,0
1605855723,0,8
1605856323,1,11
1605858123,6,0
1605859324,2,12
1605861124,5,6
1605861723,4,13
1605862923,7,3
1605864124,3,1
1605865324,0,6
1605865924,3,6
1605867124,3,18
1605867723,1,0
1605868923,2,10
1605869524,2,1
1605870123,2,0
1605870723,0,2
1605871323,2,10
1605871923,1,0
1605872523,1,3
1605873724,0,2
1605874324,1,0
1605875524,2,6
1605876124,2,27
1605877324,1,3
1605878524,3,0
1605879124,4,2
1605879724,3,0
1605881523,0,5
1605882124,6,1
1605883323,4,0
1605884524,0,7
1605885723,2,19
1605886324,5,0
1605886923,4,14
1605888124,1,0
1605888723,5,5
1605889324,13,0
1605890524,7,0
1605891724,6,0
1605892324,4,8
1605892924,24,5
1605893523,4,11
1605894124,8,0
1605895323,14,0
1605896523,3,3
1605897124,9,0
1605897724,3,0
1605898923,2,18
1605899524,3,0
1605900123,4,0
1605900723,7,32
1605901323,2,0
1605902524,3,2
1605903124,3,3
1605903724,4,16
1605904924,1,2
1605906124,10,16
1605907324,6,0
1605907924,3,4
1605908524,3,2
1605909724,7,10
1605910324,3,8
1605910923,2,0
1605911524,4,0
1605912123,4,2
1605912724,4,1
1605913324,3,0
1605914523,4,1
1605915723,6,2
1605916924,5,15
1605918124,4,30
1605919324,4,0
1605920523,3,3
1605921724,4,0
1605922323,3,2
1605922924,3,2
1605924123,2,1
1605925323,7,12
1605925923,11,1
1605927124,14,0
1605928923,3,1
1605930123,5,0
1605931324,4,7
1605931924,8,0
1605932523,5,5
1605933724,1,7
1605934323,11,0
1605935524,3,5
1605936124,2,0
1605937323,1,5
1605938523,0,13
1605939724,2,7
1605941524,12,3
1605942124,2,4
1605942724,0,5
1605943323,0,3
1605944523,13,2
1605945123,6,0
1605945724,3,6
1605946323,2,0
1605946923,1,0
1605948123,3,0
1605949323,1,19
1605949924,2,0
1605951724,3,7
1605952924,9,0
1605954123,1,8
1605954723,1,0
1605955323,1,0
1605955923,1,0
1605957723,1,6
1605958323,5,0
1605958923,5,0
1605960124,2,3
1605961323,3,3
1605961923,5,13
1605963124,1,3
1605963723,1,0
1605964923,2,6
1605966123,3,3
1605967323,0,5
1605967923,3,0
1605968523,10,1
1605969123,1,13
1605969724,2,0
1605970324,0,4
1605970924,0,5
1605971523,1,0
1605973323,2,4
1605974523,2,0
1605975723,3,13
1605976323,2,2
1605976923,1,0
1605978123,1,4
1605978723,1,0
1605979323,7,0
1605980523,1,9
1605981124,2,1
1605982324,6,7
1605982924,1,3
1605984124,2,1
1605985323,19,3
1605986523,4,4
1605987723,11,0
1605988324,2,7
1605989524,1,0
1605991323,5,0
1605992524,3,5
1605993723,2,13
1605994924,5,4
1605996123,1,4
1605997323,1,0
1605998523,4,2
1605999723,2,0
1606000923,0,1
1606002123,0,4
1606003324,2,0
1606003923,1,5
1606005723,3,18
1606006923,2,68
1606007523,1,0
1606008123,2,0
1606009323,0,4
1606011123,4,9
1606011723,2,20
1606012923,10,1
1606014724,1,6
1606015324,3,0
1606016523,1,0
1606017724,2,2
1606018924,3,16
1606020124,2,1
1606021324,0,3
1606022523,1,2
1606023723,2,43
1606024923,1,24
1606026123,3,0
