DateTime,AddedIPs,RemovedIPs
1605465723,3,6
1605466323,2,0
1605466923,1,1
1605467523,1,0
1605468123,0,2
1605470523,2,4
1605471723,7,0
1605472323,0,2
1605472923,2,3
1605474123,1,0
1605475323,0,1
1605475923,0,2
1605476523,3,0
1605477723,4,1
1605478924,4,1
1605480123,1,6
1605482524,1,10
1605483723,0,4
1605484324,1,3
1605485523,1,2
1605486724,2,3
1605487323,3,1
1605487923,2,0
1605489123,2,1
1605490923,4,0
1605492123,1,9
1605492723,2,3
1605493923,1,12
1605494523,0,5
1605495123,1,0
1605495723,1,1
1605496923,1,0
1605497524,0,5
1605499323,0,3
1605501124,17,1
1605501723,2,0
1605503523,3,3
1605505323,3,3
1605507124,1,0
1605507723,5,6
1605508923,1,7
1605509523,0,1
1605510724,5,5
1605511923,1,0
1605513723,2,5
1605514923,2,6
1605516123,0,4
1605516723,1,0
1605517323,2,0
1605518524,1,2
1605519724,1,3
1605520323,0,1
1605522124,0,3
1605523324,0,7
1605523924,1,2
1605524524,0,13
1605525724,3,13
1605526324,0,3
1605526924,1,4
1605528124,1,0
1605528724,0,2
1605529924,1,0
1605530524,0,1
1605531723,3,3
1605532324,0,7
1605533524,2,0
1605534124,1,2
1605535324,3,1
1605536523,2,3
1605537124,30,0
1605538324,38,6
1605539524,5,1
1605540124,2,2
1605540724,0,6
1605541924,3,0
1605542523,2,0
1605543723,5,5
1605544324,1,3
1605546723,2,5
1605547924,2,0
1605549124,1,8
1605550324,4,7
1605552124,3,2
1605552724,2,6
1605553324,0,11
1605555123,4,6
1605556323,5,6
1605556923,0,3
1605558124,7,5
1605558724,1,0
1605559324,3,2
1605560524,7,9
1605561724,1,8
1605562924,7,6
1605564123,3,7
1605564724,4,4
1605566524,12,6
1605567724,3,15
1605568924,4,12
1605570124,4,15
1605572523,4,11
1605573723,0,8
1605574924,1,6
1605576124,4,0
1605577323,39,14
1605578524,5,0
1605579124,4,4
1605580324,1,0
1605581523,3,0
1605582124,2,8
1605582723,2,0
1605583324,1,0
1605583923,0,30
1605584524,1,9
1605585723,2,10
1605586924,1,3
1605587524,3,0
1605588724,0,10
1605589324,2,2
1605589924,5,0
1605590523,1,0
1605591723,2,8
1605592924,1,0
1605594124,1,1
1605594724,1,0
1605595924,0,1
1605597123,1,2
1605597724,0,4
1605598924,2,0
1605601324,3,11
1605601924,4,0
1605603124,1,1
1605603724,0,12
1605604924,3,1
1605605524,21,0
1605606124,0,1
1605606724,1,0
1605607324,1,0
1605608523,2,0
1605609723,0,9
1605610924,0,3
1605612124,0,1
1605614523,1,0
1605615724,0,5
1605619325,1,0
1605620524,3,0
1605621724,1,0
1605623524,1,0
1605624124,2,0
1605625324,1,0
1605625923,8,17
1605627723,1,1
1605628323,1,5
1605630124,4,0
1605630724,0,3
1605631924,3,2
1605632524,2,8
1605633123,0,5
1605634324,1,0
1605635523,2,0
1605636124,0,2
1605637323,3,0
1605637925,1,2
1605639124,1,0
1605640924,4,7
1605642123,1,0
1605643323,1,5
1605644523,3,0
1605645724,1,12
1605646324,1,0
1605646924,0,5
1605649324,11,15
1605651123,8,5
1605651723,1,0
1605652924,2,3
1605654124,2,10
1605654724,1,10
1605655924,1,0
1605657123,0,7
1605658324,1,1
1605658923,1,3
1605660124,3,4
1605661323,9,15
1605661924,1,0
1605663124,6,4
1605663723,1,8
1605664923,1,1
1605665523,0,3
1605666724,9,5
1605668524,4,9
1605669123,1,0
1605669723,3,0
1605670924,0,5
1605672124,1,2
1605673324,1,2
1605673924,1,0
1605675123,1,0
1605675724,1,0
1605676324,0,5
1605676923,2,2
1605678723,2,2
1605679324,0,1
1605680524,1,0
1605681124,0,1
1605682924,2,1
1605684124,1,0
1605685324,0,14
1605686523,1,0
1605687724,3,1
1605688924,0,13
1605689524,1,24
1605690724,1,0
1605691324,1,0
1605692524,7,0
1605693724,4,4
1605694924,2,7
1605696123,1,0
1605697324,1,10
1605698524,3,0
1605699723,1,14
1605701524,0,3
1605703924,0,1
1605705124,0,1
1605706924,1,9
1605708124,4,2
1605709924,3,0
1605711124,1,7
1605712923,0,9
1605714124,1,3
1605714723,0,1
1605715324,1,1
1605715923,1,0
1605716523,1,1
1605717724,2,0
1605718323,2,0
1605719523,1,0
1605720123,1,3
1605720724,1,0
1605721323,1,0
1605721923,0,1
1605722523,3,0
1605723724,0,2
1605724923,0,5
1605726123,4,3
1605726723,0,6
1605727924,4,0
1605728524,2,0
1605729724,4,1
1605730924,5,3
1605731524,3,5
1605732724,4,1
1605733924,11,0
1605735124,4,1
1605735724,4,0
1605736324,0,3
1605737524,13,0
1605738124,4,0
1605739324,0,2
1605740524,4,5
1605741723,1,0
1605742923,4,6
1605743524,0,5
1605744724,2,5
1605746524,3,3
1605747724,1,5
1605748923,0,3
1605750124,3,0
1605750724,1,1
1605751924,3,1
1605753123,3,1
1605753723,0,4
1605754923,2,0
1605756123,2,1
1605756724,1,0
1605757323,1,0
1605758523,1,0
1605759724,1,0
1605760924,27,7
1605762124,1,0
1605762724,0,9
1605763923,4,0
1605764523,2,1
1605766923,5,1
1605768123,1,1
1605769323,3,5
1605770523,2,0
1605771724,2,0
1605772323,1,0
1605775324,0,2
1605776523,0,2
1605777123,0,13
1605779523,0,3
1605781323,1,1
1605781923,0,4
1605783123,1,2
1605784324,1,9
1605784924,0,4
1605785524,0,1
1605787323,0,3
1605787923,1,0
1605788523,0,2
1605789723,1,0
1605790923,0,1
1605793324,1,0
1605794523,8,1
1605795723,0,1
1605796924,1,0
1605797524,5,0
1605800523,1,0
1605801723,4,19
1605802923,1,0
1605804123,3,0
1605804723,3,8
1605805923,1,0
1605806523,1,3
1605807723,2,0
1605808923,1,9
1605810123,1,0
1605811323,0,18
1605812524,1,5
1605813723,2,0
1605814923,4,9
