DateTime,AddedIPs,RemovedIPs
1605567724,41,41
1605568324,24,24
1605568924,28,28
1605570124,55,55
1605570724,8,8
1605571323,3,3
1605572523,41,41
1605573723,17,17
1605574924,14,14
1605575523,8,8
1605576124,31,31
1605577323,85,85
1605578524,64,64
1605579124,44,44
1605579723,12,12
1605580324,15,15
1605581523,28,28
1605582124,14,14
1605582723,25,25
1605583324,12,12
1605583923,5,5
1605584524,12,12
1605585723,23,23
1605586924,12,12
1605587524,20,20
1605588724,12,12
1605589324,22,22
1605589924,21,21
1605590523,6,6
1605591723,18,18
1605592924,21,21
1605593524,17,17
1605594124,17,17
1605594724,9,9
1605595323,8,8
1605595924,3,3
1605597123,4,4
1605597724,2,2
1605598324,6,6
1605598924,12,12
1605600124,15,16
1605601324,49,49
1605601924,17,17
1605603124,19,19
1605603724,3,3
1605604924,20,19
1605605524,37,37
1605606124,14,14
1605606724,18,18
1605607324,27,27
1605607924,6,6
1605608523,10,10
1605609723,11,11
1605610924,13,13
1605611524,7,7
1605612124,4,4
1605612724,3,3
1605613323,1,1
1605614523,11,11
1605615724,16,16
1605616924,12,12
1605618123,15,15
1605619325,1,1
1605620524,12,12
1605621724,9,9
1605623524,19,19
1605624124,25,25
1605625324,12,12
1605625923,30,30
1605626524,5,5
1605627723,17,17
1605628323,7,7
1605629524,6,6
1605630124,10,10
1605630724,7,7
1605631924,24,24
1605632524,11,11
1605633123,6,6
1605634324,18,18
1605634924,3,3
1605635523,16,16
1605636124,9,9
1605637323,24,24
1605637925,8,8
1605639124,15,15
1605639723,14,14
1605640924,37,37
1605642123,13,13
1605643323,20,20
1605644523,47,47
1605645724,22,22
1605646324,6,6
1605646924,24,24
1605647524,15,15
1605648124,28,28
1605649324,66,66
1605651123,81,81
1605651723,21,21
1605652924,24,24
1605654124,35,35
1605654724,27,27
1605655924,33,33
1605656524,10,10
1605657123,15,15
1605657724,7,7
1605658324,15,15
1605658923,5,5
1605660124,32,32
1605661323,81,81
1605661924,23,23
1605663124,73,73
1605663723,25,25
1605664923,44,44
1605665523,11,11
1605666724,83,83
1605667323,24,24
1605668524,29,29
1605669123,23,23
1605669723,12,12
1605670924,13,13
1605672124,21,21
1605673324,20,20
1605673924,15,15
1605675123,29,29
1605675724,8,8
1605676324,13,13
1605676923,18,18
1605678124,10,10
1605678723,15,15
1605679324,27,27
1605680524,19,19
1605681124,14,14
1605681723,13,13
1605682924,17,17
1605684124,14,14
1605685324,10,10
1605686523,14,14
1605687724,20,20
1605688924,13,13
1605689524,16,16
1605690724,13,13
1605691324,25,25
1605692524,59,59
1605693724,31,31
1605694323,2,2
1605694924,29,29
1605696123,21,21
1605697324,27,27
1605698524,18,18
1605699723,11,11
1605700923,12,12
1605701524,13,13
1605702724,8,8
1605703323,10,10
1605703924,8,8
1605704524,2,2
1605705124,5,5
1605706924,10,10
1605707524,7,7
1605708124,5,5
1605708724,13,13
1605709924,10,10
1605711124,25,25
1605711724,18,18
1605712923,17,17
1605714124,51,51
1605714723,14,14
1605715324,23,23
1605715923,14,14
1605716523,13,13
1605717724,23,23
1605718323,19,19
1605719523,17,17
1605720123,13,13
1605720724,12,12
1605721323,7,7
1605721923,8,8
1605722523,25,25
1605723724,24,24
1605724323,9,9
1605724923,10,10
1605726123,38,38
1605726723,11,11
1605727924,31,31
1605728524,22,22
1605729724,50,50
1605730924,68,68
1605731524,16,16
1605732724,79,79
1605733324,11,11
1605733924,46,46
1605735124,40,40
1605735724,38,38
1605736324,12,12
1605737524,68,68
1605738124,38,38
1605739324,29,29
1605740524,74,74
1605741723,43,43
1605742923,67,67
1605743524,26,26
1605744724,40,40
1605745323,18,18
1605746524,59,59
1605747123,23,23
1605747724,8,8
1605748923,17,17
1605750124,21,21
1605750724,26,26
1605751924,24,24
1605753123,31,31
1605753723,14,14
1605754923,25,25
1605756123,28,28
1605756724,6,6
1605757323,11,11
1605758523,25,25
1605759724,22,22
1605760924,80,80
1605762124,50,50
1605762724,14,14
1605763923,18,18
1605764523,17,17
1605765723,27,27
1605766923,22,22
1605768123,14,14
1605769323,21,21
1605770523,14,14
1605771724,29,29
1605772323,13,13
1605772924,11,11
1605774123,13,13
1605775324,13,13
1605776523,6,6
1605777123,16,16
1605778323,36,36
1605779523,13,13
1605780124,3,3
1605781323,14,14
1605781923,8,8
1605782523,14,14
1605783123,6,6
1605784324,11,11
1605785524,3,3
1605787323,4,4
1605787923,10,10
1605788523,3,3
1605789723,7,7
1605790923,3,3
1605792123,8,8
1605793324,4,4
1605794523,11,11
1605795723,5,5
1605796924,4,4
1605797524,13,13
1605798123,14,14
1605799323,7,7
1605799923,3,3
1605800523,6,6
1605801723,26,26
1605802923,24,24
1605804123,23,23
1605804723,10,10
1605805923,27,27
1605806523,22,22
1605807723,34,34
1605808923,12,12
1605810123,22,22
1605811323,17,17
1605812524,30,30
1605813723,18,18
1605814923,22,22
1605815523,21,21
1605816723,26,26
1605817324,30,30
1605818524,79,79
1605819124,35,35
1605819723,19,19
1605820923,46,46
1605821524,58,58
1605822123,28,28
1605822723,24,24
1605823323,38,38
1605824523,14,14
1605825724,48,48
1605826324,43,43
1605827524,56,56
1605828124,36,36
1605828724,19,19
1605829323,10,10
1605830524,58,58
1605831724,54,54
1605832924,55,55
1605834123,24,24
1605835323,41,41
1605835924,31,31
1605836523,44,44
1605837123,25,25
1605838323,59,59
1605838924,29,29
1605839524,10,10
1605840723,56,56
1605841323,26,26
1605842523,49,49
1605843123,13,13
1605843724,33,33
1605844923,34,34
1605846124,44,44
1605846724,12,12
1605847324,14,14
1605848524,39,39
1605849723,25,25
1605850924,36,36
1605852124,30,30
1605852723,20,20
1605853323,29,29
1605853924,30,30
1605854524,31,31
1605855123,10,10
1605856323,12,12
1605856923,27,27
1605858123,13,13
1605859324,22,22
1605860524,26,26
1605861123,7,7
1605861723,3,3
1605862923,16,16
1605864124,23,23
1605865324,26,26
1605866524,42,42
1605867124,38,38
1605868324,48,48
1605868923,11,11
1605869524,2,2
1605870123,8,8
1605871323,30,30
1605871923,1,1
1605873124,23,23
1605873724,10,10
1605874324,10,10
1605875524,7,7
1605876723,8,8
1605877324,6,6
1605878524,8,8
1605879124,3,3
1605879724,3,3
1605881523,15,15
1605882124,18,18
1605882724,7,7
1605883323,8,8
1605883924,17,17
1605884524,3,3
1605885723,10,10
1605886324,9,9
1605886923,53,53
1605888124,31,31
1605889324,22,22
1605890524,32,32
1605891724,19,19
1605892323,15,15
1605892924,25,25
1605893523,24,24
1605894124,8,8
1605895323,31,31
1605896523,20,20
1605897124,14,14
1605898324,34,34
1605898923,15,15
1605899524,29,29
1605900123,16,16
1605901323,44,44
1605902524,74,74
1605903124,7,7
1605904924,65,65
1605906124,47,47
1605907324,77,77
1605907924,12,12
1605908524,34,34
1605909123,31,31
1605910324,81,81
1605910923,30,30
1605911524,48,48
1605912123,31,31
1605913324,55,55
1605914523,59,59
1605915723,41,41
1605916924,65,65
1605918124,79,79
1605919324,56,56
1605920523,32,32
1605921724,50,50
1605922323,36,36
1605922924,38,38
1605923524,31,31
1605924123,17,17
1605925323,56,56
1605926524,20,20
1605927723,21,21
1605928324,12,12
1605929523,22,22
1605930123,35,35
1605930723,9,9
1605931323,28,28
1605931924,27,27
1605932523,26,26
1605933724,55,55
1605934323,33,33
1605934923,16,16
1605936124,52,52
1605937323,53,53
1605938523,27,27
1605939123,12,12
1605940323,37,37
1605940924,4,4
1605942124,27,27
1605943323,20,20
1605943924,28,28
1605944523,15,15
1605945724,21,21
1605946323,20,20
1605948123,24,24
1605949323,51,51
1605950523,60,60
1605951724,40,40
1605952324,13,13
1605953524,30,30
1605954123,12,12
1605955323,25,25
1605955923,8,8
1605956523,19,19
1605957123,2,2
1605958323,22,22
1605958923,10,10
1605960124,17,17
1605961323,17,17
1605962524,14,14
1605963124,10,10
1605963723,9,9
1605964324,3,3
1605965523,17,17
1605966123,5,5
1605966724,9,9
1605967323,10,10
1605968523,23,23
1605969724,23,23
1605970324,17,17
1605970924,18,18
1605971523,8,8
1605972723,25,25
1605973323,10,10
1605973923,64,64
1605975723,52,52
1605976923,26,26
1605978123,33,33
1605978723,32,32
1605979323,23,23
1605979924,35,35
1605981124,27,27
1605981723,27,27
1605982924,24,24
1605984124,24,24
1605985323,24,24
1605986523,35,35
1605987723,24,24
1605988923,40,40
1605990123,53,53
1605990723,43,43
1605991323,46,46
1605992524,46,46
1605993723,36,36
1605994324,13,13
1605995523,19,19
1605996123,9,9
1605997323,32,32
1605998523,33,33
1605999723,42,42
1606000923,28,28
1606001524,26,26
1606002723,39,39
1606004523,36,36
1606005723,16,16
1606006923,30,30
1606008123,36,36
1606009323,21,21
1606010524,35,35
1606011123,9,9
1606011723,12,12
1606012923,43,43
1606014123,66,66
1606015323,15,15
1606016523,26,26
1606017724,25,25
1606018323,9,9
1606018923,22,22
1606020124,36,36
1606021324,24,24
1606023124,19,19
1606023723,26,26
1606024923,35,35
1606026123,30,30
