DateTime,AddedIPs,RemovedIPs
1603971002,200,0
1603972803,77,0
1603976402,123,0
1603978202,59,0
1603985402,285,0
1603992603,302,0
1603994402,74,0
1603996202,90,0
1604001602,183,0
1604003402,60,0
1604008802,186,0
1604010603,65,0
1604016002,209,3459
1604021402,221,0
1604023202,81,0
1604028603,146,0
1604034002,163,0
1604041202,221,0
1604047502,222,0
1604048403,29,0
1604051102,160,0
1604054703,138,0
1604058303,134,0
1604061903,104,0
1604065503,121,0
1604069103,173,0
1604076302,272,0
1604080802,198,0
1604083503,104,0
1604084402,26,0
1604090702,231,0
1604094302,129,0
1604097902,143,0
1604098802,26,0
1604101502,67,0
1604106002,114,3348
1604108703,79,0
1604112303,132,0
1604116802,139,0
1604119502,90,0
1604124003,154,0
1604126702,88,0
1604127603,27,0
1604130302,71,0
1604133902,131,0
1604138402,381,0
1604142002,102,0
1604145602,119,0
1604149202,106,0
1604152803,141,0
1604156402,106,0
1604163603,267,0
1604170802,232,0
1604174402,100,0
1604178002,139,0
1604181603,98,0
1604188802,199,3241
1604189701,28,0
1604192402,90,0
1604196002,117,0
1604199602,98,0
1604203202,102,0
1604206802,106,0
1604210403,134,0
1604211302,17,0
1604214903,128,0
1604217602,62,0
1604221202,92,0
1604229302,307,0
1604236502,199,0
1604243701,262,0
1604250903,265,0
1604258102,238,0
1604261701,131,0
1604265302,79,0
1604268902,67,0
1604272502,54,0
1604279702,153,2974
1604283302,79,0
1604286902,139,0
1604290501,142,0
1604294102,117,0
1604297702,139,0
1604304902,312,0
1604308502,168,0
1604312101,174,0
1604319302,296,0
1604322901,135,0
1604326502,195,0
1604330102,199,0
1604333702,136,0
1604337302,139,0
1604338201,36,0
1604340901,107,0
1604341802,40,0
1604345402,108,0
1604352602,238,0
1604359801,235,0
1604362502,66,2694
1604366102,145,0
1604367001,25,0
1604370602,102,0
1604374202,139,0
1604380502,176,0
1604385002,138,0
1604392201,287,0
1604398502,269,0
1604399402,31,0
1604402102,109,0
1604406602,161,0
1604410202,149,0
1604413801,151,0
1604416502,120,0
1604421001,176,0
1604424602,183,0
1604428202,131,0
1604434501,155,0
1604438101,88,0
1604439002,37,0
1604442602,89,0
1604447102,156,0
1604449802,133,3136
1604453402,204,0
1604455202,72,0
1604457001,86,0
1604460602,100,0
1604467802,228,0
1604471401,170,0
1604475002,157,0
1604478602,178,0
1604482202,127,0
1604485802,107,0
1604493003,233,0
1604496602,109,0
1604503802,249,0
1604508303,155,0
1604511902,116,0
1604515502,126,0
1604521802,215,0
1604529002,277,0
1604529902,21,0
1604533502,100,0
1604536201,103,3076
1604537102,48,0
1604540702,104,0
1604544302,125,0
1604550602,259,0
1604551502,20,0
1604557801,279,0
1604558702,35,0
1604561402,149,0
1604565001,198,0
1604565902,39,0
1604569502,144,0
1604573102,188,0
1604576701,143,0
1604584802,345,1
1604588403,134,0
1604590202,100,0
1604592002,51,0
1604595602,117,0
1604599203,126,0
1604604603,181,0
1604606402,54,0
1604611802,150,0
1604613602,42,0
1604615402,38,0
1604619003,144,0
1604621702,86,3172
1604622602,42,0
1604625302,108,0
1604628902,120,0
1604632502,135,0
1604639702,242,0
1604644202,179,0
1604647801,224,0
1604655001,363,0
1604661302,314,0
1604665803,231,0
1604669402,152,0
1604676603,272,0
1604680202,123,0
1604687402,255,0
1604691003,150,0
1604698202,227,0
1604701802,107,0
1604705402,98,0
1604709902,121,3250
1604713503,111,0
1604717102,90,0
1604720702,107,0
1604724302,93,0
1604727902,117,0
1604731502,96,0
1604735102,174,0
1604738702,136,0
1604742302,134,0
1604745901,183,0
1604749502,129,0
1604753102,196,0
1604756702,124,0
1604760302,122,0
1604763902,149,0
1604767502,118,0
1604768402,28,0
1604772003,91,0
1604775602,154,0
1604779202,82,0
1604782802,115,0
1604785502,67,0
1604792702,209,0
1604799902,139,3345
1604807102,246,0
1604814302,277,0
1604821502,274,0
1604828702,233,0
1604835902,200,0
1604843103,200,0
1604846702,90,0
1604850302,85,0
1604854802,183,0
1604861102,262,0
1604864702,137,0
1604868303,140,0
1604871902,118,0
1604879102,197,0
1604882702,109,3048
1604889903,205,0
1604897102,301,0
1604900703,190,0
1604904303,152,0
1604907903,177,0
1604911503,136,0
1604915102,138,0
1604918702,162,0
1604922302,198,0
1604925902,157,0
1604929503,190,0
1604936703,298,0
1604943902,325,0
1604947502,131,0
1604954701,259,0
1604961902,238,0
1604969102,260,2913
1604971802,103,0
1604973602,71,0
1604977202,119,0
1604980802,97,0
1604984402,174,0
1604988003,181,0
1604991603,132,0
1604995202,167,0
1604998803,168,0
1605002402,143,0
1605006002,198,0
1605013203,311,0
1605016802,172,0
1605024003,312,0
1605027603,169,0
1605034803,284,0
1605038402,125,0
1605042002,136,0
1605045602,115,0
1605053703,274,3381
1605057302,120,0
1605060902,176,0
1605064502,162,0
1605071702,328,0
1605078902,313,0
1605086102,428,0
1605089702,135,0
1605096902,333,0
1605104102,390,0
1605111302,282,0
1605118502,348,0
1605125702,263,0
1605132903,271,0
1605136502,79,0
1605140102,448,3201
1605143702,378,0
1605147302,126,0
1605150902,499,0
1605154502,142,0
1605158102,160,0
1605161701,134,0
1605165302,125,0
1605168902,125,0
1605172502,219,0
1605176102,173,0
1605179701,211,0
1605183302,151,0
1605186901,149,0
1605190502,156,0
1605194102,125,0
1605197702,145,0
1605201302,143,0
1605204903,121,0
1605208502,99,0
1605212101,166,0
1605215701,107,0
1605219302,93,0
1605222902,115,0
1605226502,113,3824
1605230102,169,1
1605237302,263,0
1605240902,114,0
1605248102,188,0
1605251703,114,0
1605255302,102,0
1605258903,172,0
1605266102,243,0
1605269702,161,0
1605276902,268,0
1605280502,169,0
1605287702,231,0
1605291302,128,0
1605298502,213,0
1605305702,267,1
1605309303,91,0
1605312902,120,4364
1605317402,168,0
1605321002,121,0
1605323702,87,0
1605327303,92,0
1605328202,30,0
1605331802,82,0
1605338102,195,0
1605339003,22,0
1605341702,73,0
1605345302,194,0
1605348902,137,0
1605349803,32,0
1605352503,54,0
1605357002,135,0
1605359702,74,0
1605364203,129,0
1605366901,88,0
1605371403,117,0
1605378602,221,0
1605381302,79,0
1605382202,21,0
1605388502,134,0
1605393003,115,0
1605399302,192,3045
1605402902,94,0
1605410101,197,0
1605411002,22,0
1605413702,81,0
1605414603,23,0
1605417302,63,0
1605420902,87,0
1605421802,22,0
1605429002,252,0
1605432601,92,0
1605436202,93,0
1605439802,84,0
1605443403,122,0
1605450601,239,0
1605454202,144,0
1605457802,83,0
1605461402,105,0
1605465002,96,0
1605472202,239,0
1605479402,179,0
1605486602,155,2597
1605490202,100,0
1605491103,25,0
1605494703,99,0
1605497403,98,0
1605498303,26,0
1605501002,77,0
1605505502,257,0
1605508202,107,0
1605512702,156,0
1605516302,179,0
1605519002,124,0
1605519902,28,0
